cik10,covers_first_eligible_decision,first_eligible_decision,first_price_date,issuer_name_match,issuer_name_score,last_eligible_decision,last_price_date,price_file,price_rows,provider_end_date,provider_exchange,provider_name,provider_start_date,sec_company_name,status,terminal,tiingo_symbol,cache_source,strict_issuer_name_score,strict_issuer_name_match,covers_last_eligible_decision,audit_status
0000813828,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2025-07-01 00:00:00+00:00,2025-07-11,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/PARAA/prices.csv.gz,632,2025-08-07,NASDAQ,Paramount Global - Class A,2006-01-03,PARAMOUNT GLOBAL,identity_and_start_validated,True,PARAA,broad_v2,1.0,True,True,validated_history_through_last_decision
0000824410,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2026-04-01 00:00:00+00:00,2026-04-10,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/SASR/prices.csv.gz,602,2026-08-21,NASDAQ,Sandy Spring Bancorp,1996-04-17,SANDY SPRING BANCORP INC,identity_and_start_validated,True,SASR,broad_v2,1.0,True,True,validated_history_through_last_decision
0000830524,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2023-10-01 00:00:00+00:00,2023-10-11,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/CCF/prices.csv.gz,195,2023-11-15,NYSE MKT,Chase Corp,1995-10-25,CHASE CORP,identity_and_start_validated,True,CCF,broad_v2,1.0,True,True,validated_history_through_last_decision
0000842518,True,2024-07-01 00:00:00+00:00,2024-07-01,True,1.0,2025-04-01 00:00:00+00:00,2025-04-11,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/EVBN/prices.csv.gz,197,2025-05-02,NYSE MKT,Evans Bancorp Inc,2001-07-09,EVANS BANCORP INC,identity_and_start_validated,True,EVBN,broad_v2,1.0,True,True,validated_history_through_last_decision
0000846901,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2024-04-01 00:00:00+00:00,2024-04-11,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/LBAI/prices.csv.gz,320,2024-05-15,NASDAQ,Lakeland Bancorp Inc,1999-01-04,LAKELAND BANCORP INC,identity_and_start_validated,True,LBAI,broad_v2,1.0,True,True,validated_history_through_last_decision
0000850209,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2026-04-01 00:00:00+00:00,2026-04-10,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/FL/prices.csv.gz,713,2026-08-21,NYSE,Foot Locker Inc,1970-01-02,"FOOT LOCKER, INC.",identity_and_start_validated,True,FL,broad_v2,1.0,True,True,validated_history_through_last_decision
0000850460,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2024-07-01 00:00:00+00:00,2024-07-03,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/WIRE/prices.csv.gz,377,2024-07-03,NASDAQ,Encore Wire Corp,1992-07-20,ENCORE WIRE CORP,identity_and_start_validated,True,WIRE,broad_v2,1.0,True,True,validated_history_through_last_decision
0000852772,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2026-04-01 00:00:00+00:00,2026-04-10,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/DENN/prices.csv.gz,804,2026-08-21,NASDAQ,Denny`s Corp,1998-01-08,DENNY'S CORP,identity_and_start_validated,True,DENN,broad_v2,1.0,True,True,validated_history_through_last_decision
0000855654,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2024-01-01 00:00:00+00:00,2024-01-11,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/IMGN/prices.csv.gz,258,2026-08-21,NASDAQ,Immunogen Inc,1990-03-26,"IMMUNOGEN, INC.",identity_and_start_validated,True,IMGN,broad_v2,1.0,True,True,validated_history_through_last_decision
0000858655,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2024-10-01 00:00:00+00:00,2024-10-11,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/HAYN/prices.csv.gz,447,2024-11-21,NASDAQ,Haynes International Inc,2007-03-21,HAYNES INTERNATIONAL INC,identity_and_start_validated,True,HAYN,broad_v2,1.0,True,True,validated_history_through_last_decision
0000859737,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2026-04-01 00:00:00+00:00,2026-04-07,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/HOLX/prices.csv.gz,817,2026-04-07,NASDAQ,Hologic Inc,1990-03-26,HOLOGIC INC,identity_and_start_validated,True,HOLX,broad_v2,1.0,True,True,validated_history_through_last_decision
