cik10,company_name,sec_terminal_date,completion_accession,completion_items,nearby_25_nse,notice_accessions,later_periodic_filing,terminal_reason
0000914025,PLANTRONICS INC /CA/,2022-08-29,0000950103-22-014549,1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0000876661-22-000719,False,completion_8k
0001579823,"NEWAGE, INC.",2022-08-30,0001493152-22-024420,1.01|1.03|2.04|8.01|9.01,True,0001354457-22-000519,False,bankruptcy_equity_termination
0001370880,"MANDIANT, INC.",2022-09-12,0001104659-22-099178,1.01|1.02|2.01|3.01|3.03|5.01|5.02|5.03|7.01|9.01,True,0001354457-22-000510,False,completion_8k
0001567345,"HEMISPHERE MEDIA GROUP, INC.",2022-09-13,0001104659-22-099542,1.02|2.01|3.01|3.03|5.02|5.03|8.01|9.01,True,0001354457-22-000515,False,completion_8k
0000892537,MANTECH INTERNATIONAL CORP,2022-09-14,0001193125-22-244730,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-22-000522,False,completion_8k
0000883945,USA TRUCK INC,2022-09-15,0001008886-22-000121,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-22-000525,False,completion_8k
0001341141,"CATCHMARK TIMBER TRUST, INC.",2022-09-15,0001193125-22-244897,2.01|3.01|3.03|5.01|5.02|9.01,True,0000876661-22-000750,False,completion_8k
0001644440,GCP APPLIED TECHNOLOGIES INC.,2022-09-27,0001193125-22-251962,1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0000876661-22-000789,False,completion_8k
0001021270,"BBQ HOLDINGS, INC.",2022-09-28,0001193125-22-252320,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-22-000543,False,completion_8k
0001458891,NOBLE CORP,2022-09-30,0001193125-22-254905,2.01|3.01|3.03|5.01|5.02|9.01,True,0000876661-22-000800,False,completion_8k
0000722723,"HANGER, INC.",2022-10-03,0001104659-22-105068,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0000876661-22-000805,False,completion_8k
0000783280,DUKE REALTY CORP,2022-10-03,0001104659-22-105242,2.01|3.01|3.03|5.01|5.02|9.01,True,0000876661-22-000803,False,completion_8k
0000877890,CITRIX SYSTEMS INC,2022-10-03,0001193125-22-256805,1.01|1.02|2.01|2.03|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-22-000553,False,completion_8k
0001642081,"ALLEGIANCE BANCSHARES, INC.",2022-10-03,0001642081-22-000068,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-22-000554,False,completion_8k
0001756497,CHANGE HEALTHCARE INC.,2022-10-03,0001193125-22-256246,1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-22-000557,False,completion_8k
0001689813,BIOHAVEN PHARMACEUTICAL HOLDING CO LTD.,2022-10-04,0000876661-22-000807,,True,0000876661-22-000807,False,form25_plus_form15_no_later_periodic
0001629137,"GLOBAL BLOOD THERAPEUTICS, INC.",2022-10-05,0000950157-22-001085,1.01|1.02|2.01|2.04|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-22-000558,False,completion_8k
0001442626,"BLUEROCK RESIDENTIAL GROWTH REIT, INC.",2022-10-06,0001104659-22-106715,1.01|1.02|2.01|3.01|3.03|5.01|5.02|8.01|9.01,True,0001143313-22-000065|0001143313-22-000064|0001143313-22-000063,False,completion_8k
0001652362,"INFRASTRUCTURE & ENERGY ALTERNATIVES, INC.",2022-10-07,0001104659-22-107168,1.02|2.01|3.01|3.03|5.01|5.02|5.03|5.07|8.01|9.01,True,0001354457-22-000561,False,completion_8k
0001667161,"RANDOLPH BANCORP, INC.",2022-10-07,0001104659-22-107194,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-22-000564,False,completion_8k
0001428875,TERMINIX GLOBAL HOLDINGS INC,2022-10-12,0001104659-22-108153,1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0000876661-22-000822,False,completion_8k
