name,kind,cost_multiplier,cost_bps_per_one_way_turnover,ann_return,ann_vol,sharpe,max_drawdown,cvar_5,calmar,annualized_cost,avg_weekly_turnover
track_b_aggressive_vol_throttled,candidate,1.0,10.0,0.0769120604382354,0.08704082483539169,0.8836320265081193,-0.12036045805549489,-0.029100004944666857,0.6390143547208283,0.0040010075608733296,0.07701183312355891
track_b_aggressive_vol_throttled,candidate,2.0,20.0,0.07261302333312769,0.0870876694234224,0.833792244227841,-0.12094200109731523,-0.02922073480856379,0.6003954182525892,0.008002015121746659,0.07701183312355891
track_b_aggressive_vol_throttled,candidate,3.0,30.0,0.06832997726369316,0.08714350317166564,0.7841086802430773,-0.12152342809780403,-0.029342205385505495,0.5622782234936632,0.012003022682619987,0.07701183312355891
track_b_aggressive_turnover_banded,candidate,1.0,10.0,0.07648655446458585,0.08521638834376513,0.8975568661281103,-0.11733052401034594,-0.028418369619576982,0.6518896519872479,0.003728893696030823,0.07177415555584055
track_b_aggressive_turnover_banded,candidate,2.0,20.0,0.07248036254911727,0.08526689464535166,0.8500410722189771,-0.11792124769006185,-0.028537132355615853,0.6146505737424093,0.007457787392061646,0.07177415555584055
track_b_aggressive_turnover_banded,candidate,3.0,30.0,0.06848792865840325,0.08532683519320892,0.8026540361343923,-0.11851184149108307,-0.02865589509165472,0.5778994554190295,0.011186681088092468,0.07177415555584055
track_b_aggressive_blend_static_growth_30,candidate,1.0,10.0,0.08335237019223252,0.09119589515208285,0.9139925657095632,-0.19636309611476588,-0.029240296160056974,0.42448083087626914,0.002450706182448321,0.047171461859569185
track_b_aggressive_blend_static_growth_30,candidate,2.0,20.0,0.0807038442939434,0.09120124327771585,0.8848985100805375,-0.19860680941962872,-0.029300221814338993,0.40634983528398233,0.004901412364896642,0.047171461859569185
track_b_aggressive_blend_static_growth_30,candidate,3.0,30.0,0.07806133369597834,0.09121000698237826,0.8558417686675516,-0.20091047839889875,-0.029361472935165483,0.38853789169219466,0.007352118547344961,0.047171461859569185
track_b_aggressive_blend_static_growth_50,candidate,1.0,10.0,0.09046267167468192,0.10888255850244404,0.830827939009638,-0.29265924206514204,-0.03518091804010385,0.3091058086405695,0.001750504416034515,0.033693901328263706
track_b_aggressive_blend_static_growth_50,candidate,2.0,20.0,0.08855765269735283,0.10888847722316346,0.8132876403061157,-0.29411653135472815,-0.03521830198617309,0.3010971613511421,0.00350100883206903,0.033693901328263706
track_b_aggressive_blend_static_growth_50,candidate,3.0,30.0,0.08665572514967868,0.10889585535730302,0.7957669726303975,-0.2955710363376769,-0.03525614515194847,0.2931807061456398,0.005251513248103545,0.033693901328263706
