candidate,cost_bps,window,weeks,start,end,cagr,arithmetic_ann_return,ann_vol,sharpe_zero_rf,max_drawdown
ggg_plus_reversal_4w_15,100,post_2024,119,2024-01-05,2026-04-10,0.12264663620299765,0.11905129101327201,0.0807248267696718,1.4747791451191992,-0.07277120618796629
ggg_plus_reversal_8w_10,10,full,1110,2005-01-07,2026-04-10,0.06968195565847557,0.07043179057011074,0.07775816761226398,0.9057799679811678,-0.12810762530202469
ggg_plus_reversal_8w_10,10,recent_3y,157,2023-04-14,2026-04-10,0.1393409135793473,0.13379024660681307,0.07998414687883933,1.6727095534253769,-0.07035238493272222
ggg_plus_reversal_8w_10,10,post_2024,119,2024-01-05,2026-04-10,0.16754815769050535,0.1583086277635981,0.07999269813791127,1.9790384803706258,-0.07035238493272222
ggg_plus_reversal_8w_10,50,full,1110,2005-01-07,2026-04-10,0.05593726709218072,0.05749022464045933,0.07782280547688683,0.7387323585697997,-0.1302641692384211
ggg_plus_reversal_8w_10,50,recent_3y,157,2023-04-14,2026-04-10,0.12339166006831515,0.1196782294346759,0.08021078563891143,1.4920465930035502,-0.07125450810132405
ggg_plus_reversal_8w_10,50,post_2024,119,2024-01-05,2026-04-10,0.15056620343346427,0.1436529833290256,0.08045414639562593,1.7855261632212858,-0.07125450810132405
ggg_plus_reversal_8w_10,100,full,1110,2005-01-07,2026-04-10,0.038984913004536104,0.04131326722839507,0.07808711687001858,0.5290663669547931,-0.13295912821424938
ggg_plus_reversal_8w_10,100,recent_3y,157,2023-04-14,2026-04-10,0.10374665468766975,0.10203820796950439,0.08067542236102268,1.2647991790223694,-0.07238181264251109
ggg_plus_reversal_8w_10,100,post_2024,119,2024-01-05,2026-04-10,0.12966166665963041,0.12533342778580994,0.08121879418560032,1.5431579481394335,-0.07238181264251131
