candidate,trailing_1y_cagr,trailing_1y_sharpe,trailing_1y_drawdown,ytd_cagr,full_cagr,full_drawdown,trailing_1y_200bps_cagr,recent_return,ytd_return,recent_sharpe,recent_drawdown,full_return_gate,full_drawdown_gate,severe_cost,all_screen_gates,joint_improvement
cash_rel_20w_00_20,0.950936937678859,2.4729136320645235,-0.13779459399760363,0.9284664134598155,0.3762273315061133,-0.23243065791342232,0.8441710036213499,True,True,True,True,True,True,True,True,False
cash_rel_15w_00_20,0.9509369376788583,2.472913632064523,-0.13779459399760385,0.9284664134598146,0.38205709586423087,-0.21502932290060894,0.8441710036213492,True,True,True,True,True,True,True,True,False
cash_rel_11w_00_10,0.9507653392538966,2.4930273254466684,-0.1298529671394102,0.928185485152623,0.385288732722348,-0.2184278751400276,0.8460873838998098,True,True,True,True,True,True,True,True,False
cash_rel_8w_10_40,0.9477925419952882,2.669962790861894,-0.08163570726191705,1.0142375780621453,0.34677731664273725,-0.2241408417282713,0.8120737714106523,True,True,True,True,False,True,False,False,False
cash_rel_14w_05_30,0.9473213211135014,2.542090809604747,-0.1299266023094966,0.9488260657234062,0.37073159820392965,-0.22395937722357573,0.8405322671548621,True,True,True,True,True,True,True,True,False
cash_rel_15w_05_30,0.9473213211135003,2.542090809604745,-0.1299266023094966,0.948826065723408,0.3730352892016169,-0.22153642260622364,0.8405322671548625,True,True,True,True,True,True,True,True,False
cash_rel_20w_05_30,0.9473213211134996,2.542090809604744,-0.12992660230949682,0.9488260657234042,0.36645436262508735,-0.2408617172682156,0.8405322671548632,True,True,True,True,True,True,True,True,False
cash_rel_26w_05_30,0.9473213211134988,2.542090809604744,-0.12992660230949682,0.9488260657234038,0.36875433395635615,-0.22734567770129643,0.8405322671548647,True,True,True,True,True,True,True,True,False
cash_rel_10w_00_50,0.9446319425614882,2.601001379733665,-0.11345080310046818,0.9181549919326937,0.36985139713940796,-0.23893685046817537,0.8058297930726102,True,True,True,True,True,True,False,False,False
cash_rel_12w_00_50,0.944631942561488,2.601001379733666,-0.11345080310046796,0.9181549919326917,0.3692306814942503,-0.23100778391657428,0.805829793072611,True,True,True,True,True,True,False,False,False
cash_rel_22w_00_50,0.9443771272748349,2.4098520495193205,-0.16205370570952804,0.9177387182289312,0.3598632383138489,-0.2379024506196712,0.8057194068519662,True,True,True,True,True,True,False,False,False
cash_rel_26w_10_40,0.9431124853475545,2.605885354413862,-0.12296857901966818,0.9686160185208101,0.35900605793230045,-0.2331782344058302,0.8366267966202197,True,True,True,True,True,True,True,True,False
cash_rel_15w_10_40,0.943112485347553,2.605885354413857,-0.12296857901966818,0.9686160185208113,0.36388100571778015,-0.22801167139083633,0.8366267966202214,True,True,True,True,True,True,True,True,False
cash_rel_14w_10_40,0.9431124853475521,2.6058853544138607,-0.12296857901966807,0.9686160185208093,0.36070391369735155,-0.23088183481991176,0.8366267966202177,True,True,True,True,True,True,True,True,False
cash_rel_20w_10_40,0.9431124853475521,2.6058853544138603,-0.12296857901966807,0.9686160185208126,0.35656208454906313,-0.24927395887863701,0.8366267966202181,True,True,True,True,True,True,True,True,False
cash_rel_10w_00_40,0.9413426133030218,2.5869592362064644,-0.11730566411707777,0.9127841995487809,0.3733502534187403,-0.23306088074998055,0.8099853267381079,True,True,True,True,True,True,False,False,False
cash_rel_12w_00_40,0.9413426133030214,2.586959236206464,-0.11730566411707799,0.9127841995487809,0.3728488030691741,-0.22667729435873962,0.8099853267381065,True,True,True,True,True,True,False,False,False
cash_rel_22w_00_40,0.9403943120973746,2.4186302799864148,-0.1565369558057399,0.911236928629209,0.3651530518687043,-0.23262518571537327,0.8093514812986888,True,True,True,True,True,True,False,False,False
cash_rel_8w_00_10,0.9394026333249568,2.4866397398590947,-0.12250772022562229,0.9217107852622899,0.37916141605640274,-0.21241551098419476,0.8254751395700588,True,True,True,True,True,True,True,True,False
cash_rel_10w_00_30,0.9375382279370132,2.562232926326158,-0.12124251619270754,0.9065798712392623,0.37670915736000876,-0.2271468894322347,0.8137034068325288,True,True,True,True,True,True,False,False,False
