Date,source_return,desired_exposure,exposure,outer_turnover,financing_cost,outer_cost,net_return,wealth,drawdown
2024-03-15,0.0239430340148925,1.2871789853365394,1.2871789853365394,0.024926495921167913,0.000331360367696007,6.231623980291978e-05,0.030425293621668646,1.4615557361971763,-0.017885480502362716
2024-03-22,0.0037187012938615,1.2432258923411685,1.2432258923411685,0.04395309299537087,0.000280645260393656,0.00010988273248842717,0.004232657741529138,1.4677420013986675,-0.013728525878342834
2024-03-29,-0.0155048813245867,1.2440972568248423,1.2440972568248423,0.0008713644836737533,0.0002816506809517411,2.178411209184383e-06,-0.019573409415473964,1.4390132862890044,-0.03303322123612895
2024-04-05,-0.0185256540583139,1.4301087067485458,1.4301087067485458,0.18601144992370355,0.0004962792770175529,0.00046502862480925884,-0.027455007068833057,1.399505166341795,-0.05958130098241787
2024-04-12,-0.0389397528952549,1.4898306942399184,1.4898306942399184,0.059721987491372586,0.0005651892625845212,0.00014930496872843146,-0.05872813332078144,1.3173148403497517,-0.11481033571567822
2024-04-19,0.034198803557617,1.4692583477891534,1.4692583477891534,0.020572346450765,0.0005414519397567155,5.14308661269125e-05,0.04965399480554655,1.3827247845897477,-0.07085713272338101
2024-04-26,-0.0024438832128935,1.2925872157685871,1.2925872157685871,0.17667113202056628,0.000337600633579139,0.00044167783005141564,-0.003938210661448153,1.3772793231012277,-0.0745162930692983
2024-05-03,0.0181966487144409,1.2936748883626679,1.2936748883626679,0.001087672594080713,0.00033885564041846294,2.7191814852017825e-06,0.023198972672325353,1.409230788480012,-0.05304602184353058
2024-05-10,0.026125668578451,1.3475426178026229,1.3475426178026229,0.05386772943995499,0.00040101071284918017,0.00013466932359988747,0.034669771791600516,1.458088498318311,-0.020215343523697582
2024-05-17,0.0032186983061592,1.3141122795691775,1.3141122795691775,0.03343033823344532,0.00036243724565674333,8.35758455836133e-05,0.00378371787711196,1.4636054938358096,-0.01650811480326797
2024-05-24,-0.0030673132073201,1.313865340500092,1.313865340500092,0.00024693906908557217,0.0003621523159616445,6.173476727139304e-07,-0.00439280617519041,1.457176158584445,-0.02082840402981001
2024-05-31,-0.0037411090512755,1.3285579632382374,1.3285579632382374,0.014692622738145422,0.00037910534219796617,3.673155684536355e-05,-0.005386117120458043,1.4493276371291701,-0.02610233692673114
2024-06-07,0.0177331488065277,1.3392331407613343,1.3392331407613343,0.01067517752309688,0.00039142285472461644,2.66879438077422e-05,0.02333070977322184,1.48314147959734,-0.0033806132007497824
2024-06-14,-0.0010696756296556,1.3494171767184984,1.3494171767184984,0.010184035957164106,0.0004031736654444212,2.5460089892910265e-05,-0.0018720724235117734,1.4803649313332194,-0.005246356871513869
2024-06-21,-0.0021525468663793,1.4132246380614555,1.4132246380614555,0.06380746134295712,0.0004767976593016794,0.0001595186533573928,-0.0036783485788082783,1.4749196330919323,-0.008905407520979902
2024-06-28,0.0259043278744703,1.4122887531128452,1.4122887531128452,0.0009358849486102994,0.0004757177920532829,2.3397123715257486e-06,0.03610633340963717,1.5281735731167694,0.0
2024-07-05,0.0034226599737143,1.3813883734424082,1.3813883734424082,0.030900379670437017,0.00044006350781816326,7.725094917609255e-05,0.004210708236941376,1.5346082661685683,0.0
2024-07-12,-0.0428077603144968,1.4683034007612514,1.4683034007612514,0.08691502731884326,0.0005403500778014439,0.0002172875682971082,-0.06361241769484674,1.4369881241430889,-0.06361241769484671
2024-07-19,-0.0038450122003766,1.4100469222610206,1.4100469222610206,0.05825647850023086,0.00047313106414733144,0.00014564119625057713,-0.006040419879595007,1.4283081125112729,-0.06926859186200873
2024-07-26,-0.0703706724641034,1.5,1.5,0.08995307773897943,0.0005769230769230769,0.00022488269434744855,-0.10635781446742563,1.27639638327848,-0.16825915028775507
