decision_at,family,breadth,cik10,company_name,sector,score,market_cap,intended_weight
2023-01-01 00:00:00+00:00,sales_yield,30,0000863436,BENCHMARK ELECTRONICS INC,technology,0.8746438746438747,938853490.7261314,0.03333333333333333
2023-01-01 00:00:00+00:00,sales_yield,30,0001582982,"CARECLOUD, INC.",technology,0.8689458689458689,42768783.60909271,0.03333333333333333
2023-01-01 00:00:00+00:00,sales_yield,30,0001606757,"KIMBALL ELECTRONICS, INC.",technology,0.8632478632478633,558206381.0604973,0.03333333333333333
2023-01-01 00:00:00+00:00,composite_value,10,0000817720,SYNAPTICS INC,technology,0.9962013295346628,3787.368145751953,0.1
2023-01-01 00:00:00+00:00,composite_value,10,0001770561,CORONADO GLOBAL RESOURCES INC.,energy,0.980952380952381,236379970.33423197,0.1
2023-01-01 00:00:00+00:00,composite_value,10,0000945983,"CLIMB GLOBAL SOLUTIONS, INC.",technology,0.948847081991558,35295888.791157246,0.1
2023-01-01 00:00:00+00:00,composite_value,10,0001596961,"RUMBLEON, INC.",technology,0.9371991460168335,103651311.75880814,0.1
2023-01-01 00:00:00+00:00,composite_value,10,0000319201,KLA CORP,technology,0.9272859576985134,5343205957.458897,0.1
2023-01-01 00:00:00+00:00,composite_value,10,0000918965,"SCANSOURCE, INC.",technology,0.9063057391669289,737665194.1854858,0.1
2023-01-01 00:00:00+00:00,composite_value,10,0000928022,CALLON PETROLEUM CO,energy,0.8997509339975094,2285060043.8900003,0.1
2023-01-01 00:00:00+00:00,composite_value,10,0001730168,BROADCOM INC.,technology,0.8910295815639179,23365266993.400497,0.1
2023-01-01 00:00:00+00:00,composite_value,10,0001582982,"CARECLOUD, INC.",technology,0.8806479983908266,42768783.60909271,0.1
2023-01-01 00:00:00+00:00,composite_value,10,0001760717,SCIPLAY CORP,technology,0.8804387302970873,381095999.99999994,0.1
