rule_name,target,subperiod,n_events,event_frequency,precision,baseline_precision,precision_lift,avg_forward_return,baseline_avg_forward_return,return_lift
rule_int_trend_consistency_x_lowdownsidevol__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,2010_2015,1305,0.12193982433190058,0.18084291187739462,0.2632218276957578,-0.08237891581836318,0.006242910321561594,0.007222038265470979,-0.0009791279439093845
rule_int_trend_consistency_x_lowdownsidevol__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,2016_2020,1184,0.12961138478379858,0.14358108108108109,0.2571428571428571,-0.11356177606177603,0.006981805564821306,0.013835204278374246,-0.00685339871355294
rule_int_trend_consistency_x_lowdownsidevol__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,2021_2026,1022,0.10895522388059702,0.15264187866927592,0.2571428571428571,-0.1045009784735812,0.0024581739431891927,0.01297451572413913,-0.010516341780949937
rule_int_trend_consistency_x_lowdownsidevol__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,2010_2015,1305,0.12201963534361851,0.3333333333333333,0.26339410939691443,0.06993922393641888,0.0030021152399992337,0.0035440503000185226,-0.0005419350600192889
rule_int_trend_consistency_x_lowdownsidevol__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,2016_2020,1184,0.12961138478379858,0.3032094594594595,0.2571428571428571,0.04606660231660237,0.004882132281821298,0.006819623226853916,-0.0019374909450326182
rule_int_trend_consistency_x_lowdownsidevol__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,2021_2026,1034,0.10861344537815126,0.3307543520309478,0.2571428571428571,0.07361149488809066,0.0011993225856170352,0.006374794816463079,-0.005175472230846044
rule_int_trend_consistency_x_lowdownsidevol__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,2010_2015,1305,0.12201963534361851,0.3563218390804598,0.26339410939691443,0.09292772968354535,0.006242910321561594,0.007314297407118801,-0.0010713870855572072
rule_int_trend_consistency_x_lowdownsidevol__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,2016_2020,1184,0.12961138478379858,0.3217905405405405,0.2571428571428571,0.0646476833976834,0.006981805564821306,0.013835204278374246,-0.00685339871355294
rule_int_trend_consistency_x_lowdownsidevol__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,2021_2026,1022,0.10895522388059702,0.3522504892367906,0.2571428571428571,0.09510763209393347,0.0024581739431891927,0.01297451572413913,-0.010516341780949937
rule_int_credit_strength_x_trend__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,2010_2015,1797,0.16791253971220332,0.30272676683361155,0.2632218276957578,0.039504939137853745,0.007491350660796569,0.003483188124790297,0.004008162536006272
