candidate,cik10,company_name,recent_cagr,recent_sharpe,recent_drawdown,full_cagr
sales_only__top10__floor25m__sector60__cohort1__w0.40__50bps,0001897762,INGRAM MICRO HOLDING CORP,1.1052274084243585,2.3211108646332166,-0.15469780961922452,0.4183249140785039
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,0000023197,COMTECH TELECOMMUNICATIONS CORP /DE/,1.026171891261101,2.9362305014343035,-0.08666370491515463,0.4218944181626918
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,0000065270,METHODE ELECTRONICS INC,1.0320683967085595,2.9411001959856304,-0.0915130837905952,0.41293137052599405
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,0000101984,UNIVERSAL ELECTRONICS INC,1.0832259029750868,3.049636911679781,-0.0881031938482022,0.4259324574454928
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,0000746838,UNISYS CORP,1.090032154675458,3.181804435902003,-0.08455609950526077,0.43040251700722987
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,0000789460,WORLD KINECT CORP,1.0659370601543383,2.996459652185986,-0.09128324301538437,0.42435359649532245
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,0000813762,ICAHN ENTERPRISES L.P.,1.0781522324147783,3.0259537563030467,-0.08741586350223496,0.42630337449466627
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,0000821483,"PAR PACIFIC HOLDINGS, INC.",1.0355552473330891,2.9140155643405543,-0.09194862729880948,0.4133740482467503
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,0001163739,NABORS INDUSTRIES LTD,1.043531335329198,2.968672309779489,-0.08610589618662468,0.4227035411291087
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,0001176334,MARTIN MIDSTREAM PARTNERS L.P.,1.0915533194646372,3.0594054879644013,-0.08676256932225279,0.4289416755409625
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,0001177394,TD SYNNEX CORP,1.0735524942946886,3.0236452294220224,-0.0866637049151544,0.42290106802632543
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,0001376139,CVR ENERGY INC,1.069688764392228,2.996645052039861,-0.08909203497577323,0.41998607750438355
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,0001454938,TEADS HOLDING CO.,1.1061988342377629,3.161406874611786,-0.07805327151827746,0.42838144993081495
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,0001500435,"GOPRO, INC.",1.05524504600286,3.0546721465666242,-0.08456242532318026,0.41857040426680414
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,0001509991,KOSMOS ENERGY LTD.,1.0036312374409628,2.875510263233449,-0.0866637049151544,0.4116949539867487
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,0001528129,"VITAL ENERGY, INC.",1.0743717367572123,3.0298199545280347,-0.08666370491515452,0.42653546699086364
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,0001534504,PBF ENERGY INC.,1.0306280212957537,2.920259609027679,-0.09378679632227416,0.4188617595701969
