Date,Ticker,signal_name,signal_value_observed,source,frequency,lag_periods,research_only,notes,signal_value_tradable
2013-08-23,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-08-30,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-09-06,XLF,bm_sector_above_200d_ma,0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-09-13,XLF,bm_sector_above_200d_ma,0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.8888888888888888
2013-09-20,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.8888888888888888
2013-09-27,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-10-04,XLF,bm_sector_above_200d_ma,0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-10-11,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.8888888888888888
2013-10-18,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-10-25,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-11-01,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-11-08,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-11-15,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-11-22,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-11-29,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
