source_quarter,url,retrieved_at_utc,http_status,zip_bytes,zip_sha256,sub_bytes,sub_sha256,cached_sub_file,elapsed_seconds
2023Q3,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2023q3.zip,2026-08-13T09:50:42.692443+00:00,200,117776944,f075d721dde4393dabd49c1746578294ada4665ec29c85c2b3184f44f6f09187,2132903,39018609468f6ff75d3f79c29bec8b8af266d77b53b9adade9a45365b6909021,/project/data/sec_fsds_sub_cache/2023q3.sub.txt.gz,5.721
2023Q4,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2023q4.zip,2026-08-13T09:50:53.625430+00:00,200,120272357,ad23c5505e59b7305e16bfebb8bb839476689330b85a3e1ce216f809b18d1521,2077229,b8124ce83f4f595f0de85c955716a9d683f5e843f8ff14ce2633b2d0079412b7,/project/data/sec_fsds_sub_cache/2023q4.sub.txt.gz,12.288
2024Q1,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2024q1.zip,2026-08-13T09:50:48.463700+00:00,200,124336804,94c7894b00903f8ff7186c4250ba1c1daa1bde8b3a0b26fae68f72608b2ffc9b,1811493,4a69e3aa0e42cac4056238f17c260ccb1a35b53cd67c76776c2581818fbfbb66,/project/data/sec_fsds_sub_cache/2024q1.sub.txt.gz,5.77
2024Q2,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2024q2.zip,2026-08-13T09:50:55.626366+00:00,200,119119954,698796e9f0946501d3dc74e7696a6c8c71cf32b66026e053722a784236b37761,2330878,b40357b0abfd25415c8512b937d340ad00178e37bac1da937745afbd79589541,/project/data/sec_fsds_sub_cache/2024q2.sub.txt.gz,7.159
2024Q3,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2024q3.zip,2026-08-13T09:51:08.236692+00:00,200,118280418,b1823f2d65189f0d5ecbb1968d683c59df762129ae1b23bda0394093a69e0da9,2024936,db892c40cddbf8a4d47e351e3f580c317d9bbed36c0e7ca2c4a5097d42549843,/project/data/sec_fsds_sub_cache/2024q3.sub.txt.gz,16.046
2024Q4,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2024q4.zip,2026-08-13T09:50:59.577103+00:00,200,122932548,9a2cbbaf39c94aa642b33d512f4def92b198d3bfd12d2267bcd27abe55b9902d,1961415,3fe6959d8751761a8ae088e7687ffd28ef86bfeee54314c9bd3f374bc39a8791,/project/data/sec_fsds_sub_cache/2024q4.sub.txt.gz,5.916
2025Q1,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2025q1.zip,2026-08-13T09:51:07.403784+00:00,200,127765057,4386e7057cc216b6fc729d8f957998acb831d29be7b16f6d8ed0f6b1ab74eba5,1876540,99b34664dca79c4435eb2a107b3a06a2f8f094dac144dfe06813e2e106649316,/project/data/sec_fsds_sub_cache/2025q1.sub.txt.gz,11.774
2025Q2,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2025q2.zip,2026-08-13T09:51:03.665037+00:00,200,78973768,81bf19bdb5606d5ee0164a8de8b7e96d5546170e42e59bcbf95b652ca83ac5d7,2129036,e0cc345207057d5d7706c6d53453ec1f2aa5b7296bfd23fc56692bb89e79f51a,/project/data/sec_fsds_sub_cache/2025q2.sub.txt.gz,4.082
2025Q3,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2025q3.zip,2026-08-13T09:51:12.371618+00:00,200,127842298,ebe25fa74c3655f4738ed9eb144af3953c3981c80f57d74829fb9ad68b114710,1978458,4ea0ab7a78b0e52051046f8621f3a1e739929d326fcf958d18329deab70a37d4,/project/data/sec_fsds_sub_cache/2025q3.sub.txt.gz,8.705
2025Q4,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2025q4.zip,2026-08-13T09:51:11.566720+00:00,200,65830170,2b36ac3850c022cf19edd882e31c3c453c7666677b9fdd2e1f7748fdb5768c6e,1902944,3a5dd1f6ce22fc8209b08d646cbeae6fb4e4a350237fad71ca273fd8ee731ac6,/project/data/sec_fsds_sub_cache/2025q4.sub.txt.gz,4.157
2026Q1,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2026q1.zip,2026-08-13T09:51:15.715866+00:00,200,85259424,d18c01c615da8f5cd46273b0dacaeee5b1163f4089171da0f84153a5f3c362f6,1858872,dc5b5849dfe31b72a6e0e705b289658e9e68cc2ba8e68426b2cd17059f952c41,/project/data/sec_fsds_sub_cache/2026q1.sub.txt.gz,7.473
