target,model,subperiod,n_oos,brier,auc,pearson_ic,spearman_ic,positive_spearman_ic_rate,top_minus_bottom_forward_return_spread,top_decile_precision
target_etf_forward_risk_adjusted_top_quantile_8w,simple_momentum_rank,2016_2020,9135,0.3395886621941016,0.5021449389265481,-0.031938596599040144,-0.016527683870483065,0.5210727969348659,-0.005118384783228233,0.2231800766283525
target_etf_forward_risk_adjusted_top_quantile_8w,simple_momentum_rank,2021_2026,9380,0.3436795215047499,0.4914370455415231,-0.02447056006797035,-0.033567456833479656,0.4552238805970149,-0.0018543896549019472,0.28171641791044777
target_etf_forward_risk_adjusted_top_quantile_8w,state_only_lag1_rate,2010_2015,10695,0.19402157799106148,0.49925379610952,-8.520902325909726e-18,,0.0,-0.005036569688576028,0.17492012779552715
target_etf_forward_risk_adjusted_top_quantile_8w,state_only_lag1_rate,2016_2020,9135,0.191049418077536,0.49999999999999994,4.852402272318717e-18,,0.0,0.00893380616518576,0.20593869731800765
target_etf_forward_risk_adjusted_top_quantile_8w,state_only_lag1_rate,2021_2026,9380,0.19103539707098932,0.5,3.152605712533424e-18,,0.0,-0.005227141754933103,0.34048507462686567
target_etf_forward_top_quantile_4w,decision_tree_depth3,2010_2015,10702,0.19903681246862312,0.5320735889018773,-0.025315637361595658,-0.011370147054992216,0.5015974440894568,-0.0008367257246070267,0.323482428115016
target_etf_forward_top_quantile_4w,decision_tree_depth3,2016_2020,9135,0.19097271300761867,0.5564225710986622,0.010376547366684792,0.042617636889618185,0.5478927203065134,-0.0034604260673877763,0.34099616858237547
target_etf_forward_top_quantile_4w,decision_tree_depth3,2021_2026,9520,0.18806749486552923,0.5996334619820779,0.05775394911804734,0.05252224775366735,0.5919117647058824,0.007444578640965747,0.3327205882352941
target_etf_forward_top_quantile_4w,hist_gradient_depth3,2010_2015,10702,0.19746161561514058,0.5403363130229567,-0.03416687875851451,-0.01897252402588474,0.46006389776357826,-0.004622654134025154,0.29233226837060705
target_etf_forward_top_quantile_4w,hist_gradient_depth3,2016_2020,9135,0.18788579500085612,0.5915949334498681,0.03393909538932826,0.057135611390746875,0.6130268199233716,-0.0023451593702429182,0.32471264367816094
target_etf_forward_top_quantile_4w,hist_gradient_depth3,2021_2026,9520,0.18717961264032312,0.5983199705457221,0.05890791867511888,0.044469766794659756,0.5772058823529411,0.0032516722347155818,0.3400735294117647
target_etf_forward_top_quantile_4w,logistic_l2_base,2010_2015,10702,0.1944516387439361,0.5630109699489624,-0.027155762395767183,0.014609189595094496,0.5431309904153354,-0.0045976588122598715,0.3075079872204473
target_etf_forward_top_quantile_4w,logistic_l2_base,2016_2020,9135,0.18751985465908358,0.5991817350649429,0.020993320054975634,0.07527179454157143,0.6475095785440613,-0.0019102502368293472,0.3342911877394636
target_etf_forward_top_quantile_4w,logistic_l2_base,2021_2026,9520,0.18693504404675607,0.5980504216203827,0.06319224298732623,0.04081500247157686,0.5772058823529411,0.010403183684524434,0.39981617647058826
target_etf_forward_top_quantile_4w,logistic_l2_interactions,2010_2015,10702,0.1960240212107674,0.5577283856574214,-0.008450848082913973,0.018215744037957907,0.5463258785942492,-0.0025248847756425908,0.31150159744408945
target_etf_forward_top_quantile_4w,logistic_l2_interactions,2016_2020,9135,0.18756343866510033,0.5961854327336337,0.03609368757018646,0.06432059413803837,0.632183908045977,-0.0013717244823918753,0.32950191570881227
target_etf_forward_top_quantile_4w,logistic_l2_interactions,2021_2026,9520,0.18775053242870468,0.5912771853650963,0.05342180561829777,0.03402125556104795,0.5735294117647058,0.004886095948281954,0.3547794117647059
