date,sleeve,ticker,weight
2020-10-23,Top3_Strict_Leadership,XLI,0.3333333333333333
2020-10-23,Top3_Strict_Leadership,XLK,0.3333333333333333
2020-10-23,Top3_Strict_Leadership,XLY,0.3333333333333333
2020-10-30,Top3_Strict_Leadership,XLB,0.3333333333333333
2020-10-30,Top3_Strict_Leadership,XLI,0.3333333333333333
2020-10-30,Top3_Strict_Leadership,XLY,0.3333333333333333
2020-11-06,Top3_Strict_Leadership,BIL,1.0
2020-11-13,Top3_Strict_Leadership,XLB,0.3333333333333333
2020-11-13,Top3_Strict_Leadership,XLI,0.3333333333333333
2020-11-13,Top3_Strict_Leadership,XLY,0.3333333333333333
2020-11-20,Top3_Strict_Leadership,XLB,0.3333333333333333
2020-11-20,Top3_Strict_Leadership,XLF,0.3333333333333333
2020-11-20,Top3_Strict_Leadership,XLI,0.3333333333333333
2020-11-27,Top3_Strict_Leadership,XLB,0.3333333333333333
2020-11-27,Top3_Strict_Leadership,XLF,0.3333333333333333
2020-11-27,Top3_Strict_Leadership,XLI,0.3333333333333333
2020-12-04,Top3_Strict_Leadership,XLB,0.3333333333333333
2020-12-04,Top3_Strict_Leadership,XLI,0.3333333333333333
2020-12-04,Top3_Strict_Leadership,XLK,0.3333333333333333
2020-12-11,Top3_Strict_Leadership,XLB,0.3333333333333333
2020-12-11,Top3_Strict_Leadership,XLF,0.3333333333333333
2020-12-11,Top3_Strict_Leadership,XLI,0.3333333333333333
2020-12-18,Top3_Strict_Leadership,XLB,0.3333333333333333
2020-12-18,Top3_Strict_Leadership,XLI,0.3333333333333333
2020-12-18,Top3_Strict_Leadership,XLK,0.3333333333333333
2020-12-25,Top3_Strict_Leadership,XLB,0.3333333333333333
2020-12-25,Top3_Strict_Leadership,XLF,0.3333333333333333
2020-12-25,Top3_Strict_Leadership,XLI,0.3333333333333333
2021-01-01,Top3_Strict_Leadership,XLB,0.3333333333333333
2021-01-01,Top3_Strict_Leadership,XLF,0.3333333333333333
2021-01-01,Top3_Strict_Leadership,XLI,0.3333333333333333
2021-01-08,Top3_Strict_Leadership,XLB,0.3333333333333333
2021-01-08,Top3_Strict_Leadership,XLE,0.3333333333333333
2021-01-08,Top3_Strict_Leadership,XLF,0.3333333333333333
2021-01-15,Top3_Strict_Leadership,XLB,0.3333333333333333
2021-01-15,Top3_Strict_Leadership,XLE,0.3333333333333333
2021-01-15,Top3_Strict_Leadership,XLF,0.3333333333333333
2021-01-22,Top3_Strict_Leadership,XLE,0.3333333333333333
2021-01-22,Top3_Strict_Leadership,XLF,0.3333333333333333
2021-01-22,Top3_Strict_Leadership,XLK,0.3333333333333333
2021-01-29,Top3_Strict_Leadership,XLE,0.3333333333333333
2021-01-29,Top3_Strict_Leadership,XLF,0.3333333333333333
2021-01-29,Top3_Strict_Leadership,XLK,0.3333333333333333
2021-02-05,Top3_Strict_Leadership,BIL,1.0
2021-02-12,Top3_Strict_Leadership,XLE,0.3333333333333333
2021-02-12,Top3_Strict_Leadership,XLF,0.3333333333333333
2021-02-12,Top3_Strict_Leadership,XLK,0.3333333333333333
2021-02-19,Top3_Strict_Leadership,XLB,0.3333333333333333
2021-02-19,Top3_Strict_Leadership,XLE,0.3333333333333333
2021-02-19,Top3_Strict_Leadership,XLF,0.3333333333333333
2021-02-26,Top3_Strict_Leadership,XLB,0.3333333333333333
2021-02-26,Top3_Strict_Leadership,XLE,0.3333333333333333
2021-02-26,Top3_Strict_Leadership,XLF,0.3333333333333333
2021-03-05,Top3_Strict_Leadership,XLE,0.3333333333333333
2021-03-05,Top3_Strict_Leadership,XLF,0.3333333333333333
2021-03-05,Top3_Strict_Leadership,XLI,0.3333333333333333
2021-03-12,Top3_Strict_Leadership,XLE,0.3333333333333333
2021-03-12,Top3_Strict_Leadership,XLF,0.3333333333333333
2021-03-12,Top3_Strict_Leadership,XLI,0.3333333333333333
2021-03-19,Top3_Strict_Leadership,XLE,0.3333333333333333
2021-03-19,Top3_Strict_Leadership,XLF,0.3333333333333333
2021-03-19,Top3_Strict_Leadership,XLI,0.3333333333333333
2021-03-26,Top3_Strict_Leadership,XLE,0.3333333333333333
2021-03-26,Top3_Strict_Leadership,XLF,0.3333333333333333
2021-03-26,Top3_Strict_Leadership,XLI,0.3333333333333333
2021-04-02,Top3_Strict_Leadership,XLE,0.3333333333333333
2021-04-02,Top3_Strict_Leadership,XLF,0.3333333333333333
2021-04-02,Top3_Strict_Leadership,XLI,0.3333333333333333
2021-04-09,Top3_Strict_Leadership,XLE,0.3333333333333333
2021-04-09,Top3_Strict_Leadership,XLF,0.3333333333333333
2021-04-09,Top3_Strict_Leadership,XLI,0.3333333333333333
2021-04-16,Top3_Strict_Leadership,XLE,0.3333333333333333
