,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_conditioned,taa_10m_sma,sector_rotation_with_sma_filter,cash::BIL
2015-03-13,0.21226114757636425,0.08277593528054884,0.19114068219720284,0.21915094858016476,0.1241063388759404,0.12574807517595873,0.044816872313820144
2015-03-20,0.21226114757636425,0.08277593528054884,0.19114068219720284,0.21915094858016476,0.1241063388759404,0.12574807517595873,0.044816872313820144
2015-03-27,0.21342701742624967,0.08584627344033036,0.1974223086135968,0.22576151984687273,0.12400705798479254,0.12822245093076168,0.02531337175739623
2015-04-03,0.21342701742624967,0.08584627344033036,0.1974223086135968,0.22576151984687273,0.12400705798479254,0.12822245093076168,0.02531337175739623
2015-04-10,0.21342701742624967,0.08584627344033036,0.1974223086135968,0.22576151984687273,0.12400705798479254,0.12822245093076168,0.02531337175739623
2015-04-17,0.21342701742624967,0.08584627344033036,0.1974223086135968,0.22576151984687273,0.12400705798479254,0.12822245093076168,0.02531337175739623
2015-04-24,0.2161481928367855,0.09606781845248913,0.18627420827272126,0.2187525462425521,0.12192733195790405,0.14180734686305554,0.019022555374492378
2015-05-01,0.2161481928367855,0.09606781845248913,0.18627420827272126,0.2187525462425521,0.12192733195790405,0.14180734686305554,0.019022555374492378
2015-05-08,0.2161481928367855,0.09606781845248913,0.18627420827272126,0.2187525462425521,0.12192733195790405,0.14180734686305554,0.019022555374492378
2015-05-15,0.2161481928367855,0.09606781845248913,0.18627420827272126,0.2187525462425521,0.12192733195790405,0.14180734686305554,0.019022555374492378
2015-05-22,0.2161481928367855,0.09606781845248913,0.18627420827272126,0.2187525462425521,0.12192733195790405,0.14180734686305554,0.019022555374492378
2015-05-29,0.16422512582771934,0.10136603378486198,0.22240622563750687,0.22100137752705626,0.12009065364807889,0.14907971673923637,0.021830866835540252
2015-06-05,0.16422512582771934,0.10136603378486198,0.22240622563750687,0.22100137752705626,0.12009065364807889,0.14907971673923637,0.021830866835540252
2015-06-12,0.16422512582771934,0.10136603378486198,0.22240622563750687,0.22100137752705626,0.12009065364807889,0.14907971673923637,0.021830866835540252
2015-06-19,0.16422512582771934,0.10136603378486198,0.22240622563750687,0.22100137752705626,0.12009065364807889,0.14907971673923637,0.021830866835540252
2015-06-26,0.11430514027186539,0.08499409639327521,0.2105751112818632,0.18984288911446662,0.10420957845372976,0.1319809276403513,0.1640922568444484
2015-07-03,0.11430514027186539,0.08499409639327521,0.2105751112818632,0.18984288911446662,0.10420957845372976,0.1319809276403513,0.1640922568444484
2015-07-10,0.11430514027186539,0.08499409639327521,0.2105751112818632,0.18984288911446662,0.10420957845372976,0.1319809276403513,0.1640922568444484
2015-07-17,0.11430514027186539,0.08499409639327521,0.2105751112818632,0.18984288911446662,0.10420957845372976,0.1319809276403513,0.1640922568444484
2015-07-24,0.11430514027186539,0.08499409639327521,0.2105751112818632,0.18984288911446662,0.10420957845372976,0.1319809276403513,0.1640922568444484
2015-07-31,0.09996766674516734,0.08236119582845589,0.18033919370832763,0.18532558470417632,0.14620663709487125,0.13364490585833563,0.17215481606066585
2015-08-07,0.09996766674516734,0.08236119582845589,0.18033919370832763,0.18532558470417632,0.14620663709487125,0.13364490585833563,0.17215481606066585
2015-08-14,0.09996766674516734,0.08236119582845589,0.18033919370832763,0.18532558470417632,0.14620663709487125,0.13364490585833563,0.17215481606066585
2015-08-21,0.09996766674516734,0.08236119582845589,0.18033919370832763,0.18532558470417632,0.14620663709487125,0.13364490585833563,0.17215481606066585
2015-08-28,0.0579538501004252,0.03459761752426766,0.08203649624101524,0.11148781800601736,0.06100899537154969,0.05291522275672489,0.6
2015-09-04,0.0579538501004252,0.03459761752426766,0.08203649624101524,0.11148781800601736,0.06100899537154969,0.05291522275672489,0.6
2015-09-11,0.0579538501004252,0.03459761752426766,0.08203649624101524,0.11148781800601736,0.06100899537154969,0.05291522275672489,0.6
2015-09-18,0.0579538501004252,0.03459761752426766,0.08203649624101524,0.11148781800601736,0.06100899537154969,0.05291522275672489,0.6
2015-09-25,0.06394511139969475,0.04555072317770194,0.07911685025868476,0.10516545549541055,0.05991077802772349,0.04631108164078456,0.5999999999999999
2015-10-02,0.06394511139969475,0.04555072317770194,0.07911685025868476,0.10516545549541055,0.05991077802772349,0.04631108164078456,0.5999999999999999
2015-10-09,0.06394511139969475,0.04555072317770194,0.07911685025868476,0.10516545549541055,0.05991077802772349,0.04631108164078456,0.5999999999999999
2015-10-16,0.06394511139969475,0.04555072317770194,0.07911685025868476,0.10516545549541055,0.05991077802772349,0.04631108164078456,0.5999999999999999
2015-10-23,0.06394511139969475,0.04555072317770194,0.07911685025868476,0.10516545549541055,0.05991077802772349,0.04631108164078456,0.5999999999999999
2015-10-30,0.14330445070065942,0.1106792909169225,0.1628027413412311,0.2019356335605945,0.11845001905491952,0.08786925269223589,0.17495861173343707
2015-11-06,0.14330445070065942,0.1106792909169225,0.1628027413412311,0.2019356335605945,0.11845001905491952,0.08786925269223589,0.17495861173343707
2015-11-13,0.14330445070065942,0.1106792909169225,0.1628027413412311,0.2019356335605945,0.11845001905491952,0.08786925269223589,0.17495861173343707
2015-11-20,0.14330445070065942,0.1106792909169225,0.1628027413412311,0.2019356335605945,0.11845001905491952,0.08786925269223589,0.17495861173343707
2015-11-27,0.15326269664765185,0.09635015768345848,0.16538905765318046,0.19531359923864422,0.11550517178376507,0.10848996010157468,0.16568935689172526
2015-12-04,0.15326269664765185,0.09635015768345848,0.16538905765318046,0.19531359923864422,0.11550517178376507,0.10848996010157468,0.16568935689172526
2015-12-11,0.15326269664765185,0.09635015768345848,0.16538905765318046,0.19531359923864422,0.11550517178376507,0.10848996010157468,0.16568935689172526
2015-12-18,0.15326269664765185,0.09635015768345848,0.16538905765318046,0.19531359923864422,0.11550517178376507,0.10848996010157468,0.16568935689172526
2015-12-25,0.06007216666510793,0.039020539308131486,0.09758064256425289,0.09059388933373302,0.06784743843312176,0.04488532369565293,0.6
2016-01-01,0.06007216666510793,0.039020539308131486,0.09758064256425289,0.09059388933373302,0.06784743843312176,0.04488532369565293,0.6
2016-01-08,0.06007216666510793,0.039020539308131486,0.09758064256425289,0.09059388933373302,0.06784743843312176,0.04488532369565293,0.6
2016-01-15,0.06007216666510793,0.039020539308131486,0.09758064256425289,0.09059388933373302,0.06784743843312176,0.04488532369565293,0.6
2016-01-22,0.06007216666510793,0.039020539308131486,0.09758064256425289,0.09059388933373302,0.06784743843312176,0.04488532369565293,0.6
2016-01-29,0.049025470627262084,0.03311109789053306,0.10535547664821586,0.09302878548549494,0.07932393407019772,0.04015523527829637,0.6
2016-02-05,0.049025470627262084,0.03311109789053306,0.10535547664821586,0.09302878548549494,0.07932393407019772,0.04015523527829637,0.6
2016-02-12,0.049025470627262084,0.03311109789053306,0.10535547664821586,0.09302878548549494,0.07932393407019772,0.04015523527829637,0.6
2016-02-19,0.049025470627262084,0.03311109789053306,0.10535547664821586,0.09302878548549494,0.07932393407019772,0.04015523527829637,0.6
2016-02-26,0.042450020500384704,0.029567003908472524,0.10950486417268904,0.09489489858013299,0.0859842195041698,0.03759899333415098,0.6
2016-03-04,0.042450020500384704,0.029567003908472524,0.10950486417268904,0.09489489858013299,0.0859842195041698,0.03759899333415098,0.6
2016-03-11,0.042450020500384704,0.029567003908472524,0.10950486417268904,0.09489489858013299,0.0859842195041698,0.03759899333415098,0.6
