,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_conditioned,taa_10m_sma,sector_rotation_with_sma_filter,cash::BIL
2009-02-20,0.04417697153400052,0.04383422175235923,0.10251074235808773,0.17698475998924834,0.03247924132444287,1.406304186133377e-05,0.6
2009-02-27,0.049004749512889634,0.04228183613323272,0.10055676862518328,0.178190855993549,0.029957351910028573,8.437825116800262e-06,0.6000000000000001
2009-03-06,0.049004749512889634,0.04228183613323272,0.10055676862518328,0.178190855993549,0.029957351910028573,8.437825116800262e-06,0.6000000000000001
2009-03-13,0.049004749512889634,0.04228183613323272,0.10055676862518328,0.178190855993549,0.029957351910028573,8.437825116800262e-06,0.6000000000000001
2009-03-20,0.049004749512889634,0.04228183613323272,0.10055676862518328,0.178190855993549,0.029957351910028573,8.437825116800262e-06,0.6000000000000001
2009-03-27,0.05210249688281685,0.04112921654239435,0.09951349133915782,0.1789145135961294,0.0283352189444315,5.062695070080156e-06,0.6000000000000001
2009-04-03,0.05210249688281685,0.04112921654239435,0.09951349133915782,0.1789145135961294,0.0283352189444315,5.062695070080156e-06,0.6000000000000001
2009-04-10,0.05210249688281685,0.04112921654239435,0.09951349133915782,0.1789145135961294,0.0283352189444315,5.062695070080156e-06,0.6000000000000001
2009-04-17,0.05210249688281685,0.04112921654239435,0.09951349133915782,0.1789145135961294,0.0283352189444315,5.062695070080156e-06,0.6000000000000001
2009-04-24,0.086563832768684,0.11180925273925274,0.18969379272094056,0.35869741631535523,0.05322963022168336,6.075234084096188e-06,0.19999999999999996
2009-05-01,0.086563832768684,0.11180925273925274,0.18969379272094056,0.35869741631535523,0.05322963022168336,6.075234084096188e-06,0.19999999999999996
2009-05-08,0.086563832768684,0.11180925273925274,0.18969379272094056,0.35869741631535523,0.05322963022168336,6.075234084096188e-06,0.19999999999999996
2009-05-15,0.086563832768684,0.11180925273925274,0.18969379272094056,0.35869741631535523,0.05322963022168336,6.075234084096188e-06,0.19999999999999996
2009-05-22,0.086563832768684,0.11180925273925274,0.18969379272094056,0.35869741631535523,0.05322963022168336,6.075234084096188e-06,0.19999999999999996
2009-05-29,0.07986308354812172,0.12867447467124407,0.1822310990287911,0.3592184497892132,0.05000924782217956,3.645140450457713e-06,0.19999999999999996
2009-06-05,0.07986308354812172,0.12867447467124407,0.1822310990287911,0.3592184497892132,0.05000924782217956,3.645140450457713e-06,0.19999999999999996
2009-06-12,0.07986308354812172,0.12867447467124407,0.1822310990287911,0.3592184497892132,0.05000924782217956,3.645140450457713e-06,0.19999999999999996
2009-06-19,0.07986308354812172,0.12867447467124407,0.1822310990287911,0.3592184497892132,0.05000924782217956,3.645140450457713e-06,0.19999999999999996
2009-06-26,0.07476409924400443,0.13033746487655373,0.18462533617377427,0.3463568619331037,0.040766495796083074,0.19266432961457094,0.030485412361909936
2009-07-03,0.07476409924400443,0.13033746487655373,0.18462533617377427,0.3463568619331037,0.040766495796083074,0.19266432961457094,0.030485412361909936
2009-07-10,0.07476409924400443,0.13033746487655373,0.18462533617377427,0.3463568619331037,0.040766495796083074,0.19266432961457094,0.030485412361909936
2009-07-17,0.07476409924400443,0.13033746487655373,0.18462533617377427,0.3463568619331037,0.040766495796083074,0.19266432961457094,0.030485412361909936
2009-07-24,0.07476409924400443,0.13033746487655373,0.18462533617377427,0.3463568619331037,0.040766495796083074,0.19266432961457094,0.030485412361909936
2009-07-31,0.06574826033086029,0.13097662501996588,0.1669047294798171,0.29074196850043527,0.04036369744071502,0.27472522384499215,0.03053949538321432
2009-08-07,0.06574826033086029,0.13097662501996588,0.1669047294798171,0.29074196850043527,0.04036369744071502,0.27472522384499215,0.03053949538321432
2009-08-14,0.06574826033086029,0.13097662501996588,0.1669047294798171,0.29074196850043527,0.04036369744071502,0.27472522384499215,0.03053949538321432
2009-08-21,0.06574826033086029,0.13097662501996588,0.1669047294798171,0.29074196850043527,0.04036369744071502,0.27472522384499215,0.03053949538321432
2009-08-28,0.07175641157736802,0.14764381543561828,0.18673455576931078,0.34266332965250035,0.043800461408731825,0.16186636496583118,0.04553506119063955
2009-09-04,0.07175641157736802,0.14764381543561828,0.18673455576931078,0.34266332965250035,0.043800461408731825,0.16186636496583118,0.04553506119063955
2009-09-11,0.07175641157736802,0.14764381543561828,0.18673455576931078,0.34266332965250035,0.043800461408731825,0.16186636496583118,0.04553506119063955
