,dual_momentum_topn,cta_trend_long_only,composite_equal_weight,composite_regime_conditioned,taa_10m_sma,composite_breadth_filtered,cash::BIL
2013-10-11,0.05036607697044917,0.08309445020002178,0.24427670615279354,0.10139829252873186,0.007823190875160027,0.1630412832728437,0.34999999999999987
2013-10-18,0.05036607697044917,0.08309445020002178,0.24427670615279354,0.10139829252873186,0.007823190875160027,0.1630412832728437,0.34999999999999987
2013-10-25,0.030219646182269497,0.10380985403802424,0.24213595631379306,0.10732002524442352,0.0046939145250960174,0.16182060369639376,0.34999999999999987
2013-11-01,0.030219646182269497,0.10380985403802424,0.24213595631379306,0.10732002524442352,0.0046939145250960174,0.16182060369639376,0.34999999999999987
2013-11-08,0.030219646182269497,0.10380985403802424,0.24213595631379306,0.10732002524442352,0.0046939145250960174,0.16182060369639376,0.34999999999999987
2013-11-15,0.030219646182269497,0.10380985403802424,0.24213595631379306,0.10732002524442352,0.0046939145250960174,0.16182060369639376,0.34999999999999987
2013-11-22,0.030219646182269497,0.10380985403802424,0.24213595631379306,0.10732002524442352,0.0046939145250960174,0.16182060369639376,0.34999999999999987
2013-11-29,0.0181317877093617,0.11577795362070432,0.24267368362636924,0.10724533488811011,0.00281634871505761,0.16335489144039703,0.35
2013-12-06,0.0181317877093617,0.11577795362070432,0.24267368362636924,0.10724533488811011,0.00281634871505761,0.16335489144039703,0.35
2013-12-13,0.0181317877093617,0.11577795362070432,0.24267368362636924,0.10724533488811011,0.00281634871505761,0.16335489144039703,0.35
2013-12-20,0.0181317877093617,0.11577795362070432,0.24267368362636924,0.10724533488811011,0.00281634871505761,0.16335489144039703,0.35
2013-12-27,0.01087907262561702,0.13685873130023057,0.23713586589141097,0.10473919485636621,0.0016898092290345663,0.15869732609734075,0.35
2014-01-03,0.01087907262561702,0.13685873130023057,0.23713586589141097,0.10473919485636621,0.0016898092290345663,0.15869732609734075,0.35
2014-01-10,0.01087907262561702,0.13685873130023057,0.23713586589141097,0.10473919485636621,0.0016898092290345663,0.15869732609734075,0.35
2014-01-17,0.01087907262561702,0.13685873130023057,0.23713586589141097,0.10473919485636621,0.0016898092290345663,0.15869732609734075,0.35
2014-01-24,0.01087907262561702,0.13685873130023057,0.23713586589141097,0.10473919485636621,0.0016898092290345663,0.15869732609734075,0.35
2014-01-31,0.0065274435753702115,0.16568705299725106,0.23403027723543365,0.09665305763499661,0.0010138855374207413,0.14608828301952778,0.34999999999999987
2014-02-07,0.0065274435753702115,0.16568705299725106,0.23403027723543365,0.09665305763499661,0.0010138855374207413,0.14608828301952778,0.34999999999999987
2014-02-14,0.0065274435753702115,0.16568705299725106,0.23403027723543365,0.09665305763499661,0.0010138855374207413,0.14608828301952778,0.34999999999999987
2014-02-21,0.0065274435753702115,0.16568705299725106,0.23403027723543365,0.09665305763499661,0.0010138855374207413,0.14608828301952778,0.34999999999999987
