,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_conditioned,taa_10m_sma,sector_rotation_with_sma_filter,cash::BIL
2012-07-27,0.07997092472441716,0.09609262452869355,0.1902312876537664,0.2910022256645525,0.1267823830190039,0.21592055440956642,0.0
2012-08-03,0.07997092472441716,0.09609262452869355,0.1902312876537664,0.2910022256645525,0.1267823830190039,0.21592055440956642,0.0
2012-08-10,0.07997092472441716,0.09609262452869355,0.1902312876537664,0.2910022256645525,0.1267823830190039,0.21592055440956642,0.0
2012-08-17,0.07997092472441716,0.09609262452869355,0.1902312876537664,0.2910022256645525,0.1267823830190039,0.21592055440956642,0.0
2012-08-24,0.07997092472441716,0.09609262452869355,0.1902312876537664,0.2910022256645525,0.1267823830190039,0.21592055440956642,0.0
2012-08-31,0.0684099984659338,0.11416095981202991,0.17596308457830084,0.2646119883582844,0.14348943997673103,0.23336452880872008,0.0
2012-09-07,0.0684099984659338,0.11416095981202991,0.17596308457830084,0.2646119883582844,0.14348943997673103,0.23336452880872008,0.0
2012-09-14,0.0684099984659338,0.11416095981202991,0.17596308457830084,0.2646119883582844,0.14348943997673103,0.23336452880872008,0.0
2012-09-21,0.0684099984659338,0.11416095981202991,0.17596308457830084,0.2646119883582844,0.14348943997673103,0.23336452880872008,0.0
2012-09-28,0.06767085947442698,0.09686197252425953,0.17081231531905253,0.2699804998060922,0.1496159685951637,0.24505838428100507,0.0
2012-10-05,0.06767085947442698,0.09686197252425953,0.17081231531905253,0.2699804998060922,0.1496159685951637,0.24505838428100507,0.0
2012-10-12,0.06767085947442698,0.09686197252425953,0.17081231531905253,0.2699804998060922,0.1496159685951637,0.24505838428100507,0.0
2012-10-19,0.06767085947442698,0.09686197252425953,0.17081231531905253,0.2699804998060922,0.1496159685951637,0.24505838428100507,0.0
2012-10-26,0.062294819627912904,0.0925754109287889,0.17794005682750302,0.2641236449958986,0.1537765110048129,0.24928955661508378,0.0
2012-11-02,0.062294819627912904,0.0925754109287889,0.17794005682750302,0.2641236449958986,0.1537765110048129,0.24928955661508378,0.0
2012-11-09,0.062294819627912904,0.0925754109287889,0.17794005682750302,0.2641236449958986,0.1537765110048129,0.24928955661508378,0.0
2012-11-16,0.062294819627912904,0.0925754109287889,0.17794005682750302,0.2641236449958986,0.1537765110048129,0.24928955661508378,0.0
2012-11-23,0.062294819627912904,0.0925754109287889,0.17794005682750302,0.2641236449958986,0.1537765110048129,0.24928955661508378,0.0
