,dual_momentum_topn,cta_trend_long_only,composite_trend_quality_module,composite_regime_conditioned,taa_10m_sma,cash::BIL
2010-05-07,0.20755467620367682,0.11453115651922266,0.1579519157520056,0.45,0.06996225152509494,0.0
2010-05-14,0.20755467620367682,0.11453115651922266,0.1579519157520056,0.45,0.06996225152509494,0.0
2010-05-21,0.20755467620367682,0.11453115651922266,0.1579519157520056,0.45,0.06996225152509494,0.0
2010-05-28,0.1676742825854591,0.08775557601175138,0.10562606796284296,0.3600000000000001,0.07894407343994664,0.19999999999999973
2010-06-04,0.1676742825854591,0.08775557601175138,0.10562606796284296,0.3600000000000001,0.07894407343994664,0.19999999999999973
2010-06-11,0.1676742825854591,0.08775557601175138,0.10562606796284296,0.3600000000000001,0.07894407343994664,0.19999999999999973
2010-06-18,0.1676742825854591,0.08775557601175138,0.10562606796284296,0.3600000000000001,0.07894407343994664,0.19999999999999973
2010-06-25,0.1664329525540052,0.08655484492625515,0.09247344898045663,0.36000000000000004,0.0945387535392831,0.19999999999999984
2010-07-02,0.1664329525540052,0.08655484492625515,0.09247344898045663,0.36000000000000004,0.0945387535392831,0.19999999999999984
2010-07-09,0.1664329525540052,0.08655484492625515,0.09247344898045663,0.36000000000000004,0.0945387535392831,0.19999999999999984
2010-07-16,0.1664329525540052,0.08655484492625515,0.09247344898045663,0.36000000000000004,0.0945387535392831,0.19999999999999984
2010-07-23,0.1664329525540052,0.08655484492625515,0.09247344898045663,0.36000000000000004,0.0945387535392831,0.19999999999999984
2010-07-30,0.16861411632512013,0.08885163801100526,0.11034129179833295,0.3516910231753415,0.08050193069020023,0.19999999999999996
2010-08-06,0.16861411632512013,0.08885163801100526,0.11034129179833295,0.3516910231753415,0.08050193069020023,0.19999999999999996
2010-08-13,0.16861411632512013,0.08885163801100526,0.11034129179833295,0.3516910231753415,0.08050193069020023,0.19999999999999996
2010-08-20,0.16861411632512013,0.08885163801100526,0.11034129179833295,0.3516910231753415,0.08050193069020023,0.19999999999999996
2010-08-27,0.1707786205741926,0.09191895390160654,0.12205083027105282,0.34279406942556395,0.0724575258275842,0.19999999999999984
2010-09-03,0.1707786205741926,0.09191895390160654,0.12205083027105282,0.34279406942556395,0.0724575258275842,0.19999999999999984
2010-09-10,0.1707786205741926,0.09191895390160654,0.12205083027105282,0.34279406942556395,0.0724575258275842,0.19999999999999984
2010-09-17,0.1707786205741926,0.09191895390160654,0.12205083027105282,0.34279406942556395,0.0724575258275842,0.19999999999999984
2010-09-24,0.20368751425977802,0.1523981433303495,0.12511042078579263,0.3504244622437262,0.12117222396821799,0.04720723541213556
2010-10-01,0.20368751425977802,0.1523981433303495,0.12511042078579263,0.3504244622437262,0.12117222396821799,0.04720723541213556
2010-10-08,0.20368751425977802,0.1523981433303495,0.12511042078579263,0.3504244622437262,0.12117222396821799,0.04720723541213556
2010-10-15,0.20368751425977802,0.1523981433303495,0.12511042078579263,0.3504244622437262,0.12117222396821799,0.04720723541213556
2010-10-22,0.20368751425977802,0.1523981433303495,0.12511042078579263,0.3504244622437262,0.12117222396821799,0.04720723541213556
2010-10-29,0.24423659632203776,0.12344738687161957,0.1672953721784331,0.35263666656476156,0.07698097532353658,0.03540300273961139
2010-11-05,0.24423659632203776,0.12344738687161957,0.1672953721784331,0.35263666656476156,0.07698097532353658,0.03540300273961139
2010-11-12,0.24423659632203776,0.12344738687161957,0.1672953721784331,0.35263666656476156,0.07698097532353658,0.03540300273961139
2010-11-19,0.24423659632203776,0.12344738687161957,0.1672953721784331,0.35263666656476156,0.07698097532353658,0.03540300273961139
2010-11-26,0.23723843799303235,0.1278594404805116,0.16508296568381778,0.34020577975336275,0.07651474906544715,0.05309862702382839
2010-12-03,0.23723843799303235,0.1278594404805116,0.16508296568381778,0.34020577975336275,0.07651474906544715,0.05309862702382839
2010-12-10,0.23723843799303235,0.1278594404805116,0.16508296568381778,0.34020577975336275,0.07651474906544715,0.05309862702382839
2010-12-17,0.23723843799303235,0.1278594404805116,0.16508296568381778,0.34020577975336275,0.07651474906544715,0.05309862702382839
2010-12-24,0.23723843799303235,0.1278594404805116,0.16508296568381778,0.34020577975336275,0.07651474906544715,0.05309862702382839
2010-12-31,0.23960009945313615,0.2504028030985043,0.094910608573239,0.18000027230996407,0.14069170980073162,0.09439450676442485
2011-01-07,0.23960009945313615,0.2504028030985043,0.094910608573239,0.18000027230996407,0.14069170980073162,0.09439450676442485
2011-01-14,0.23960009945313615,0.2504028030985043,0.094910608573239,0.18000027230996407,0.14069170980073162,0.09439450676442485
2011-01-21,0.23960009945313615,0.2504028030985043,0.094910608573239,0.18000027230996407,0.14069170980073162,0.09439450676442485
2011-01-28,0.2403296331294668,0.2525326155675865,0.09349299381423884,0.18897817626073793,0.14184766548499417,0.08281891574297584
2011-02-04,0.2403296331294668,0.2525326155675865,0.09349299381423884,0.18897817626073793,0.14184766548499417,0.08281891574297584
2011-02-11,0.2403296331294668,0.2525326155675865,0.09349299381423884,0.18897817626073793,0.14184766548499417,0.08281891574297584
2011-02-18,0.2403296331294668,0.2525326155675865,0.09349299381423884,0.18897817626073793,0.14184766548499417,0.08281891574297584
2011-02-25,0.24043550212369177,0.19444311554946564,0.1409032149643704,0.24676424236695368,0.1149098798333879,0.06254404516213063
2011-03-04,0.24043550212369177,0.19444311554946564,0.1409032149643704,0.24676424236695368,0.1149098798333879,0.06254404516213063
2011-03-11,0.24043550212369177,0.19444311554946564,0.1409032149643704,0.24676424236695368,0.1149098798333879,0.06254404516213063
2011-03-18,0.24043550212369177,0.19444311554946564,0.1409032149643704,0.24676424236695368,0.1149098798333879,0.06254404516213063
2011-03-25,0.2454349089436931,0.1559873617029109,0.17140876323150617,0.2697320315562426,0.09740814649870978,0.060028788066937455
2011-04-01,0.2454349089436931,0.1559873617029109,0.17140876323150617,0.2697320315562426,0.09740814649870978,0.060028788066937455
2011-04-08,0.2454349089436931,0.1559873617029109,0.17140876323150617,0.2697320315562426,0.09740814649870978,0.060028788066937455
2011-04-15,0.2454349089436931,0.1559873617029109,0.17140876323150617,0.2697320315562426,0.09740814649870978,0.060028788066937455
2011-04-22,0.2454349089436931,0.1559873617029109,0.17140876323150617,0.2697320315562426,0.09740814649870978,0.060028788066937455
2011-04-29,0.27699495797876017,0.10400475055353016,0.1949151103726421,0.2852684451019303,0.07212591727415407,0.0666908187189833
2011-05-06,0.27699495797876017,0.10400475055353016,0.1949151103726421,0.2852684451019303,0.07212591727415407,0.0666908187189833
2011-05-13,0.27699495797876017,0.10400475055353016,0.1949151103726421,0.2852684451019303,0.07212591727415407,0.0666908187189833
2011-05-20,0.27699495797876017,0.10400475055353016,0.1949151103726421,0.2852684451019303,0.07212591727415407,0.0666908187189833
2011-05-27,0.2629603112396371,0.09669709724320062,0.18378918738635405,0.3238808445557716,0.07580899641197203,0.05686356316306462
2011-06-03,0.2629603112396371,0.09669709724320062,0.18378918738635405,0.3238808445557716,0.07580899641197203,0.05686356316306462
2011-06-10,0.2629603112396371,0.09669709724320062,0.18378918738635405,0.3238808445557716,0.07580899641197203,0.05686356316306462
2011-06-17,0.2629603112396371,0.09669709724320062,0.18378918738635405,0.3238808445557716,0.07580899641197203,0.05686356316306462
2011-06-24,0.26454029350171765,0.13523605214642673,0.14858934348945974,0.2605484836385648,0.10420826066661394,0.08687756655721723
2011-07-01,0.26454029350171765,0.13523605214642673,0.14858934348945974,0.2605484836385648,0.10420826066661394,0.08687756655721723
2011-07-08,0.26454029350171765,0.13523605214642673,0.14858934348945974,0.2605484836385648,0.10420826066661394,0.08687756655721723
