,dual_momentum_topn,cta_trend_long_only,composite_trend_quality_refined,composite_regime_conditioned,taa_10m_sma,cash::BIL
2025-08-15,0.175217612172847,0.060085372463822395,0.059027682950004046,0.41886005112805347,0.22660520001354692,0.06020408127172616
2025-08-22,0.175217612172847,0.060085372463822395,0.059027682950004046,0.41886005112805347,0.22660520001354692,0.06020408127172616
2025-08-29,0.17392050293114691,0.06623657772876003,0.05634395412516705,0.45,0.2534989652149261,0.0
2025-09-05,0.17392050293114691,0.06623657772876003,0.05634395412516705,0.45,0.2534989652149261,0.0
2025-09-12,0.17392050293114691,0.06623657772876003,0.05634395412516705,0.45,0.2534989652149261,0.0
2025-09-19,0.17392050293114691,0.06623657772876003,0.05634395412516705,0.45,0.2534989652149261,0.0
2025-09-26,0.1615593668364446,0.06742526982087316,0.05191099535995988,0.39469040166370395,0.26474698954608006,0.05966697677293831
2025-10-03,0.1615593668364446,0.06742526982087316,0.05191099535995988,0.39469040166370395,0.26474698954608006,0.05966697677293831
2025-10-10,0.1615593668364446,0.06742526982087316,0.05191099535995988,0.39469040166370395,0.26474698954608006,0.05966697677293831
2025-10-17,0.1615593668364446,0.06742526982087316,0.05191099535995988,0.39469040166370395,0.26474698954608006,0.05966697677293831
2025-10-24,0.1615593668364446,0.06742526982087316,0.05191099535995988,0.39469040166370395,0.26474698954608006,0.05966697677293831
2025-10-31,0.16067197176757791,0.06741134553118816,0.05620964600383991,0.4087979076029198,0.263513049280965,0.043396079813509236
2025-11-07,0.16067197176757791,0.06741134553118816,0.05620964600383991,0.4087979076029198,0.263513049280965,0.043396079813509236
2025-11-14,0.16067197176757791,0.06741134553118816,0.05620964600383991,0.4087979076029198,0.263513049280965,0.043396079813509236
2025-11-21,0.16067197176757791,0.06741134553118816,0.05620964600383991,0.4087979076029198,0.263513049280965,0.043396079813509236
2025-11-28,0.16554916044906962,0.0669353092853592,0.056649305107414755,0.41479084846825365,0.2528419622763815,0.043233414413521354
2025-12-05,0.16554916044906962,0.0669353092853592,0.056649305107414755,0.41479084846825365,0.2528419622763815,0.043233414413521354
2025-12-12,0.16554916044906962,0.0669353092853592,0.056649305107414755,0.41479084846825365,0.2528419622763815,0.043233414413521354
2025-12-19,0.16554916044906962,0.0669353092853592,0.056649305107414755,0.41479084846825365,0.2528419622763815,0.043233414413521354
2025-12-26,0.16992481700240705,0.06896631127806303,0.058791768172475514,0.4198006032599469,0.24066087342866063,0.041855626858446904
2026-01-02,0.16992481700240705,0.06896631127806303,0.058791768172475514,0.4198006032599469,0.24066087342866063,0.041855626858446904
2026-01-09,0.16992481700240705,0.06896631127806303,0.058791768172475514,0.4198006032599469,0.24066087342866063,0.041855626858446904
2026-01-16,0.16992481700240705,0.06896631127806303,0.058791768172475514,0.4198006032599469,0.24066087342866063,0.041855626858446904
2026-01-23,0.16992481700240705,0.06896631127806303,0.058791768172475514,0.4198006032599469,0.24066087342866063,0.041855626858446904
2026-01-30,0.16896582883966027,0.06832108224358871,0.05933042538621982,0.42185241247153077,0.23977210313295969,0.04175814792604071
2026-02-06,0.16896582883966027,0.06832108224358871,0.05933042538621982,0.42185241247153077,0.23977210313295969,0.04175814792604071
2026-02-13,0.16896582883966027,0.06832108224358871,0.05933042538621982,0.42185241247153077,0.23977210313295969,0.04175814792604071
2026-02-20,0.16896582883966027,0.06832108224358871,0.05933042538621982,0.42185241247153077,0.23977210313295969,0.04175814792604071
2026-02-27,0.1597328738991595,0.06668704751832309,0.05673702983398131,0.4163806019055221,0.25758881489704893,0.04287363194596505
2026-03-06,0.1597328738991595,0.06668704751832309,0.05673702983398131,0.4163806019055221,0.25758881489704893,0.04287363194596505
2026-03-13,0.1597328738991595,0.06668704751832309,0.05673702983398131,0.4163806019055221,0.25758881489704893,0.04287363194596505
2026-03-20,0.1597328738991595,0.06668704751832309,0.05673702983398131,0.4163806019055221,0.25758881489704893,0.04287363194596505
2026-03-27,0.12757584419229015,0.05888940127019776,0.04803377567993202,0.34229796939094104,0.22320300946663904,0.19999999999999996
2026-04-03,0.12757584419229015,0.05888940127019776,0.04803377567993202,0.34229796939094104,0.22320300946663904,0.19999999999999996
2026-04-10,0.13102565567967958,0.062331031186753254,0.05066440972252979,0.4158382770387097,0.28013199655668414,0.06000862981564348
