,dual_momentum_topn,cta_trend_long_only,composite_selective_concentrated,composite_regime_conditioned,taa_10m_sma,cash::BIL
2012-08-10,0.08682240675450975,0.21489647593043898,0.3138942666636237,0.12321348948918262,0.24117336116224491,0.020000000000000018
2012-08-17,0.08682240675450975,0.21489647593043898,0.3138942666636237,0.12321348948918262,0.24117336116224491,0.020000000000000018
2012-08-24,0.08682240675450975,0.21489647593043898,0.3138942666636237,0.12321348948918262,0.24117336116224491,0.020000000000000018
2012-08-31,0.08793944920002351,0.21889801092893776,0.3162188887008265,0.12571024858515165,0.25123340258506066,0.0
2012-09-07,0.08793944920002351,0.21889801092893776,0.3162188887008265,0.12571024858515165,0.25123340258506066,0.0
2012-09-14,0.08793944920002351,0.21889801092893776,0.3162188887008265,0.12571024858515165,0.25123340258506066,0.0
2012-09-21,0.08793944920002351,0.21889801092893776,0.3162188887008265,0.12571024858515165,0.25123340258506066,0.0
2012-09-28,0.08481095048815677,0.21666714372414386,0.310847832862064,0.12399412403071301,0.2636799488949224,0.0
2012-10-05,0.08481095048815677,0.21666714372414386,0.310847832862064,0.12399412403071301,0.2636799488949224,0.0
2012-10-12,0.08481095048815677,0.21666714372414386,0.310847832862064,0.12399412403071301,0.2636799488949224,0.0
2012-10-19,0.08481095048815677,0.21666714372414386,0.310847832862064,0.12399412403071301,0.2636799488949224,0.0
2012-10-26,0.08223810699112359,0.22318691846117814,0.3018739120250236,0.12232695835643145,0.27037410416624325,0.0
2012-11-02,0.08223810699112359,0.22318691846117814,0.3018739120250236,0.12232695835643145,0.27037410416624325,0.0
2012-11-09,0.08223810699112359,0.22318691846117814,0.3018739120250236,0.12232695835643145,0.27037410416624325,0.0
2012-11-16,0.08223810699112359,0.22318691846117814,0.3018739120250236,0.12232695835643145,0.27037410416624325,0.0
2012-11-23,0.08223810699112359,0.22318691846117814,0.3018739120250236,0.12232695835643145,0.27037410416624325,0.0
2012-11-30,0.08154943357132287,0.22169606113188875,0.2896464843696164,0.11974725277701911,0.2673607681501529,0.020000000000000018
2012-12-07,0.08154943357132287,0.22169606113188875,0.2896464843696164,0.11974725277701911,0.2673607681501529,0.020000000000000018
2012-12-14,0.08154943357132287,0.22169606113188875,0.2896464843696164,0.11974725277701911,0.2673607681501529,0.020000000000000018
2012-12-21,0.08154943357132287,0.22169606113188875,0.2896464843696164,0.11974725277701911,0.2673607681501529,0.020000000000000018
