,dual_momentum_topn,composite_calm_trend_specialist,composite_healthier_recovery_specialist,composite_anti_chop_clarity,composite_regime_conditioned,taa_10m_sma,cash::BIL
2011-10-07,0.05615202337230244,0.19467933528102524,0.09939054138358615,0.18000000000000002,0.24900000000000003,0.22077809996308623,0.0
2011-10-14,0.05686318446128362,0.19473859870510696,0.10145605179572131,0.18,0.249,0.21794216503788813,0.0
2011-10-21,0.04,0.10477729745235242,0.0901515751518708,0.28893154342152233,0.3213179213469,0.15482166262735442,0.0
2011-10-28,0.04,0.08310415989810328,0.08397662338038836,0.3098368154551031,0.3381377212244631,0.14494468004194208,0.0
2011-11-04,0.04000000000000001,0.08215695544978262,0.08461419468748074,0.3029167695021194,0.35141888788948766,0.13889319247112966,0.0
2011-11-11,0.04,0.07924030770992353,0.08440909512613548,0.27025974543715564,0.3529444141759063,0.17314643755087916,0.0
2011-11-18,0.06132707860071222,0.21888383949536663,0.1857537660269341,0.14,0.14,0.2540353158769871,0.0
2011-11-25,0.04,0.19303071477023415,0.13121278095121083,0.17908682115932145,0.249,0.20766968311923367,0.0
2011-12-02,0.06300214713350402,0.24994126446610826,0.2049780956051669,0.14,0.14,0.20207849279522083,0.0
2011-12-09,0.04000000000000001,0.2016666666666667,0.2263516984131964,0.12939353547861007,0.10051915792471613,0.3020689415168108,0.0
2011-12-16,0.04,0.21240384517587474,0.1956678032231292,0.17620816733267264,0.1956664769516259,0.18005370731669765,0.0
2011-12-23,0.04,0.20166666666666666,0.20860014601782192,0.14136719569868378,0.19727308891944462,0.21109290269738315,0.0
2011-12-30,0.04,0.20166666666666666,0.1972772734281566,0.12466504884618632,0.18963871941582164,0.24675229164316867,0.0
2012-01-06,0.046914893625748195,0.261876628215057,0.08899188401183128,0.1143501073666018,0.2,0.28786648678076177,0.0
2012-01-13,0.04320580594906514,0.20425468709429737,0.11858490071672943,0.18,0.1697067061543766,0.2842479000855314,0.0
2012-01-20,0.04,0.22677536115756122,0.04,0.1760668485016601,0.14964717458227544,0.3675106157585033,0.0
2012-01-27,0.12666241925218036,0.045096132020153744,0.21173229724806267,0.18,0.18,0.2565091514796033,0.0
2012-02-03,0.0783808457853718,0.04,0.06737277746818135,0.29202458730776293,0.35012954998017304,0.1720922394585109,0.0
