Date,control_weight,valuation_weight,gross_return,turnover,cost,net_return,wealth,drawdown
2025-08-15,1.0,0.0,0.000114158162392,0.0,0.0,0.000114158162392,1.6306874367525257,-0.002788678857926552
2025-08-22,1.0,0.0,0.0054924795833546,0.0,0.0,0.0054924795833546,1.639643954205722,0.0
2025-08-29,1.0,0.0,0.0114716680145809,0.0,0.0,0.0114716680145809,1.658453405310485,0.0
2025-09-05,1.0,0.0,0.0540506488139103,0.0,0.0,0.0540506488139103,1.7480938878951555,0.0
2025-09-12,1.0,0.0,0.0379237145842958,0.0,0.0,0.0379237145842958,1.8143881015662435,0.0
2025-09-19,1.0,0.0,-0.0026887985590375,0.0,0.0,-0.0026887985590375,1.8095095774532175,-0.0026887985590374752
2025-09-26,1.0,0.0,0.0267453294750326,0.0,0.0,0.0267453294750326,1.857905507290431,0.0
2025-10-03,1.0,0.0,-0.0274837307067801,0.0,0.0,-0.0274837307067801,1.806843332649417,-0.02748373070678012
2025-10-10,1.0,0.0,0.0337549802808652,0.0,0.0,0.0337549802808652,1.8678332937136108,0.0
2025-10-17,1.0,0.0,0.0247525395583221,0.0,0.0,0.0247525395583221,1.914066911204608,0.0
2025-10-24,1.0,0.0,0.0274416325479476,0.0,0.0,0.0274416325479476,1.96659203205407,0.0
2025-10-31,1.0,0.0,-0.0357489770005667,0.0,0.0,-0.0357489770005667,1.8962883787306712,-0.03574897700056667
2025-11-07,1.0,0.0,0.0133483893973307,0.0,0.0,0.0133483893973307,1.9216007744196013,-0.022877778868795717
2025-11-14,1.0,0.0,-0.0579603328626258,0.0,0.0,-0.0579603328626258,1.8102241539051618,-0.07951210805302855
2025-11-21,1.0,0.0,0.08334451242003,0.0,0.0,0.08334451242003,1.961096403383349,-0.0027944935101669177
2025-11-28,1.0,0.0,0.0214323991291638,0.0,0.0,0.0214323991291638,2.0031274042314284,0.0
2025-12-05,1.0,0.0,0.0057128435188422,0.0,0.0,0.0057128435188422,2.014570957640107,0.0
2025-12-12,1.0,0.0,0.0309963019107972,0.0,0.0,0.0309963019107972,2.077015207263844,0.0
2025-12-19,1.0,0.0,0.0582260304266688,0.0,0.0,0.0582260304266688,2.1979515579186426,0.0
2025-12-26,1.0,0.0,-0.0185343269580529,0.0,0.0,-0.0185343269580529,2.1572140051062165,-0.018534326958053016
2026-01-02,1.0,0.0,0.0461864577286104,0.0,0.0,0.0461864577286104,2.256848078564621,0.0
2026-01-09,1.0,0.0,0.0490407574930369,0.0,0.0,0.0490407574930369,2.367525617884135,0.0
2026-01-16,1.0,0.0,0.0477188313381433,0.0,0.0,0.0477188313381433,2.480501173532682,0.0
2026-01-23,1.0,0.0,-0.0313794580939481,0.0,0.0,-0.0313794580939481,2.402664390905824,-0.031379458093948154
2026-01-30,1.0,0.0,-0.0244523847489512,0.0,0.0,-0.0244523847489512,2.3439135167967904,-0.05506454026037244
2026-02-06,1.0,0.0,-0.0248980398504695,0.0,0.0,-0.0248980398504695,2.28555466464953,-0.07859158099309138
2026-02-13,1.0,0.0,0.0465838366306261,0.0,0.0,0.0465838366306261,2.392024569757929,-0.03566884173199003
2026-02-20,1.0,0.0,0.0440038083319536,0.0,0.0,0.0440038083319536,2.4972827604508807,0.0
2026-02-27,1.0,0.0,-0.0398082807360069,0.0,0.0,-0.0398082807360069,2.3978702272456616,-0.03980828073600695
2026-03-06,1.0,0.0,0.0206396388559877,0.0,0.0,0.0206396388559877,2.447361402759537,-0.019990270417888256
2026-03-13,1.0,0.0,-0.0429752538312713,0.0,0.0,-0.0429752538312713,2.34218542525909,-0.06210643730379506
2026-03-20,1.0,0.0,-0.0266353746770194,0.0,0.0,-0.0266353746770194,2.27980043889426,-0.08708758375337311
2026-03-27,1.0,0.0,0.0207727582483459,0.0,0.0,0.0207727582483459,2.327158182265883,-0.06812387482876858
2026-04-03,1.0,0.0,0.0430925296207742,0.0,0.0,0.0430925296207742,2.427441315167403,-0.027966975301935038
2026-04-10,1.0,0.0,0.0871290634061754,0.0,0.0,0.0871290634061754,2.6389420034313935,0.0
2026-04-17,1.0,0.0,0.052006129639009,0.0,0.0,0.052006129639009,2.7761831633716727,0.0
2026-04-24,1.0,0.0,0.0226743410933674,0.0,0.0,0.0226743410933674,2.8391312873556256,0.0
2026-05-01,1.0,0.0,0.0648893572267055,0.0,0.0,0.0648893572267055,3.023360691674361,0.0
2026-05-08,1.0,0.0,0.0064640976392438,0.0,0.0,0.0064640976392438,3.042903990383996,0.0
2026-05-15,1.0,0.0,0.0096977487800027,0.0,0.0,0.0096977487800027,3.072413308844408,0.0
2026-05-22,1.0,0.0,0.1152953690447409,0.0,0.0,0.1152953690447409,3.4266483351455976,0.0
2026-05-29,1.0,0.0,-0.0724939435810178,0.0,0.0,-0.0724939435810178,3.178237084065564,-0.0724939435810178
2026-06-05,1.0,0.0,0.0288551491243955,0.0,0.0,0.0288551491243955,3.26994558907896,-0.04573061800926803
2026-06-12,1.0,0.0,0.0489906415034968,0.0,0.0,0.0489906415034968,3.4301423211694684,0.0
2026-06-19,1.0,0.0,-0.0407719189739923,0.0,0.0,-0.0407719189739923,3.290288836381485,-0.04077191897399235
2026-06-26,1.0,0.0,-0.0177990630905321,0.0,0.0,-0.0177990630905321,3.231724777796657,-0.057845280106384345
2026-07-03,1.0,0.0,0.0090870101126065,0.0,0.0,0.0090870101126065,3.2610914935336566,-0.049283910639071005
2026-07-10,1.0,0.0,-0.0222814598131313,0.0,0.0,-0.0222814598131313,3.188429614473542,-0.07046725297786394
2026-07-17,1.0,0.0,-0.0272014850192297,0.0,0.0,-0.0272014850192297,3.101699594080572,-0.09575192407086996
2026-07-24,1.0,0.0,-0.0055467084612921,0.0,0.0,-0.0055467084612921,3.0844953706976987,-0.10076752452473314
2026-07-31,1.0,0.0,0.0699790609880512,0.0,0.0,0.0699790609880512,3.300345460361115,-0.037840080281013044
2026-08-07,1.0,0.0,0.0303645147161797,0.0,0.0,0.0303645147161797,3.400558848660727,-0.008624561239387596
