decision_date,realization_date,cost_bps,gross_return,turnover,cost,net_return
2014-07-25,2014-08-01,10.0,-0.028086681420932607,0.0,0.0,-0.028086681420932607
2014-08-01,2014-08-08,10.0,-0.00163468031329821,0.6615903704076278,0.0006615903704076277,-0.0022962706837058376
2014-08-08,2014-08-15,10.0,0.01913457320132872,0.0,0.0,0.01913457320132872
2014-08-15,2014-08-22,10.0,0.011967727836068861,0.0,0.0,0.011967727836068861
2014-08-22,2014-08-29,10.0,0.006466655160817369,0.0,0.0,0.006466655160817369
2014-08-29,2014-09-05,10.0,0.009737955296474126,0.0,0.0,0.009737955296474126
2014-09-05,2014-09-12,10.0,-0.011558300868813806,0.8089235022805087,0.0008089235022805087,-0.012367224371094315
2014-09-12,2014-09-19,10.0,0.006533001688729695,0.0,0.0,0.006533001688729695
2014-09-19,2014-09-26,10.0,-0.017626997614612505,0.0,0.0,-0.017626997614612505
2014-09-26,2014-10-03,10.0,-0.014049404738231252,0.0,0.0,-0.014049404738231252
2014-10-03,2014-10-10,10.0,-0.02704748021089363,0.8323883522183355,0.0008323883522183354,-0.027879868563111965
2014-10-10,2014-10-17,10.0,-0.0015713993455169282,0.0,0.0,-0.0015713993455169282
2014-10-17,2014-10-24,10.0,0.032535312487794725,0.0,0.0,0.032535312487794725
2014-10-24,2014-10-31,10.0,0.021439753654336365,0.0,0.0,0.021439753654336365
2014-10-31,2014-11-07,10.0,0.007800625098809003,0.0,0.0,0.007800625098809003
2014-11-07,2014-11-14,10.0,0.007600378378968554,0.6780162637403123,0.0006780162637403123,0.0069223621152282415
2014-11-14,2014-11-21,10.0,0.014399816819973708,0.0,0.0,0.014399816819973708
2014-11-21,2014-11-28,10.0,0.0042078596189924974,0.0,0.0,0.0042078596189924974
2014-11-28,2014-12-05,10.0,-0.0003803352515241315,0.0,0.0,-0.0003803352515241315
2014-12-05,2014-12-12,10.0,-0.030504447529667866,0.4343603367148475,0.00043436033671484753,-0.030938807866382714
2014-12-12,2014-12-19,10.0,0.025833376247971596,0.0,0.0,0.025833376247971596
2014-12-19,2014-12-26,10.0,0.008525061404941995,0.0,0.0,0.008525061404941995
2014-12-26,2015-01-02,10.0,-0.01531437977685493,0.0,0.0,-0.01531437977685493
