label,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,avg_drawdown,cvar_5pct,hit_rate,n_weeks,avg_turnover,ann_turnover,ann_cost_drag,state,variant,period,family,tilt_size,bucket_type
recovery_fragile,0.157405,0.032087,,,86.422024,-0.001821,-0.000596,,,4,0.182906,9.511104,0.009511,recovery_fragile,familyB_tilt5pct_data,holdout,B,0.05,data
stressed_panic,0.075696,0.074442,1.016855,1.131828,2.889971,-0.026193,-0.003696,-0.026193,0.857143,14,0.079869,4.153209,0.004153,stressed_panic,familyB_tilt5pct_data,holdout,B,0.05,data
calm_trend,0.038575,0.077446,0.498087,0.646012,0.272316,-0.141655,-0.061944,-0.026405,0.559567,277,0.071403,3.712931,0.003713,calm_trend,familyB_tilt5pct_intuitive,dev,B,0.05,intuitive
neutral_mixed,0.093812,0.072823,1.288224,1.575103,1.076636,-0.087134,-0.01679,-0.023955,0.533333,435,0.07371,3.832926,0.003833,neutral_mixed,familyB_tilt5pct_intuitive,dev,B,0.05,intuitive
recovery_confirmed,0.003692,0.074995,0.049226,0.067402,0.068357,-0.054006,-0.016719,-0.025075,0.5,34,0.095031,4.941634,0.004942,recovery_confirmed,familyB_tilt5pct_intuitive,dev,B,0.05,intuitive
recovery_fragile,0.058483,0.059986,0.974952,1.299372,1.868361,-0.031302,-0.00848,-0.017121,0.577778,45,0.11428,5.942585,0.005943,recovery_fragile,familyB_tilt5pct_intuitive,dev,B,0.05,intuitive
stressed_panic,0.035174,0.074637,0.471261,0.533648,0.288932,-0.121737,-0.026426,-0.022614,0.553488,215,0.055736,2.89829,0.002898,stressed_panic,familyB_tilt5pct_intuitive,dev,B,0.05,intuitive
calm_trend,0.102546,0.065409,1.567756,2.205641,3.757598,-0.02729,-0.007953,-0.01894,0.555556,18,0.070895,3.686516,0.003687,calm_trend,familyB_tilt5pct_intuitive,holdout,B,0.05,intuitive
neutral_mixed,0.22277,0.0931,2.392798,3.72585,4.572257,-0.048722,-0.006708,-0.025639,0.637931,58,0.081659,4.246269,0.004246,neutral_mixed,familyB_tilt5pct_intuitive,holdout,B,0.05,intuitive
recovery_confirmed,0.108772,0.076377,1.424149,1.931302,6.738928,-0.016141,-0.004542,-0.016141,0.6,10,0.121674,6.327047,0.006327,recovery_confirmed,familyB_tilt5pct_intuitive,holdout,B,0.05,intuitive
