candidate,sleeve,family,holding_weeks,price_confirmation,breadth,market_cap_floor,sector_cap,allocation,cost_bps,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,full_sharpe,full_drawdown,sleeve_recent_cagr,sleeve_full_cagr,beats_control_both
fundamental_acceleration__hold13__positive_4w__top30__floor100m__sector60__w0.10__50bps,fundamental_acceleration__hold13__positive_4w__top30__floor100m__sector60,fundamental_acceleration,13,positive_4w,30,100000000,0.6,0.1,50,1.0201698255337033,2.7769501656709314,-0.10386789551533104,0.3850192694826293,1.5882050679202593,-0.218853539616488,0.7069258884932199,0.16418188834617498,False
quality_momentum__hold13__none__top20__floor100m__sector60__w0.10__50bps,quality_momentum__hold13__none__top20__floor100m__sector60,quality_momentum,13,none,20,100000000,0.6,0.1,50,1.019817060772794,2.768833025084995,-0.10086789830402432,0.38228731717561026,1.5708312587615376,-0.22033217831461138,0.7081131571502166,0.14058569089342265,False
quality_momentum__hold13__none__top20__floor50m__sector60__w0.10__50bps,quality_momentum__hold13__none__top20__floor50m__sector60,quality_momentum,13,none,20,50000000,0.6,0.1,50,1.0195923212686449,2.769110299268615,-0.10086789830402432,0.3854689652185237,1.5807023484023168,-0.22033217831461116,0.7063947004752058,0.1662329155804798,False
fundamental_acceleration__hold13__positive_4w__top30__floor50m__sector70__w0.20__50bps,fundamental_acceleration__hold13__positive_4w__top30__floor50m__sector70,fundamental_acceleration,13,positive_4w,30,50000000,0.7,0.2,50,1.0193919635729687,2.8805389519041484,-0.10742784147382312,0.3677623419963729,1.5500764133395195,-0.22437578150408266,0.847302535208379,0.19621892907147997,False
quality_momentum__hold13__none__top20__floor50m__sector70__w0.10__50bps,quality_momentum__hold13__none__top20__floor50m__sector70,quality_momentum,13,none,20,50000000,0.7,0.1,50,1.0193557438460208,2.744635933849902,-0.10231573049283493,0.3826955801411005,1.5622741762636136,-0.22032089064605065,0.713052600925314,0.14491805979115058,False
quality_momentum__hold13__none__top20__floor100m__sector70__w0.10__50bps,quality_momentum__hold13__none__top20__floor100m__sector70,quality_momentum,13,none,20,100000000,0.7,0.1,50,1.0193488964398467,2.743741929384887,-0.10231573049283493,0.3810575160181353,1.5574822063508036,-0.22032089064605054,0.7132300732365473,0.13251521005774203,False
balanced_filing_momentum__hold13__positive_8w__top30__floor50m__sector70__w0.40__50bps,balanced_filing_momentum__hold13__positive_8w__top30__floor50m__sector70,balanced_filing_momentum,13,positive_8w,30,50000000,0.7,0.4,50,1.0191530279484176,3.0296842993965845,-0.12992775030850467,0.33873634146851606,1.485247804311912,-0.2465906847061673,0.9292561638170616,0.22659615647540243,False
balanced_filing_momentum__hold4__positive_8w__top20__floor50m__sector70__w0.10__50bps,balanced_filing_momentum__hold4__positive_8w__top20__floor50m__sector70,balanced_filing_momentum,4,positive_8w,20,50000000,0.7,0.1,50,1.0190812570905274,2.751831987152371,-0.10590112508442617,0.3861079242537113,1.585721654280582,-0.22495801146302763,0.6765702869464236,0.16502481805293678,False
quality_momentum__hold4__positive_4w__top10__floor50m__sector70__w0.10__50bps,quality_momentum__hold4__positive_4w__top10__floor50m__sector70,quality_momentum,4,positive_4w,10,50000000,0.7,0.1,50,1.0190415914914661,2.823471181585992,-0.09065078288221895,0.39699837408536687,1.6278218986394593,-0.23067386344123597,0.6759201977117322,0.24246961183119375,False
quality_momentum__hold4__positive_4w__top10__floor100m__sector70__w0.10__50bps,quality_momentum__hold4__positive_4w__top10__floor100m__sector70,quality_momentum,4,positive_4w,10,100000000,0.7,0.1,50,1.0190415914914661,2.823471181585992,-0.09065078288221884,0.39091606462908457,1.6083275635748453,-0.2306738634412363,0.6759201977117297,0.1926312205807692,False
quality_momentum__hold13__positive_4w__top10__floor50m__sector70__w0.10__50bps,quality_momentum__hold13__positive_4w__top10__floor50m__sector70,quality_momentum,13,positive_4w,10,50000000,0.7,0.1,50,1.0188664229238649,2.7589695417901723,-0.09608365032175326,0.38101354537850796,1.5586864211501352,-0.22639327709806045,0.7077491593856398,0.12192082353234124,False
fundamental_acceleration__hold13__positive_4w__top30__floor50m__sector60__w0.20__50bps,fundamental_acceleration__hold13__positive_4w__top30__floor50m__sector60,fundamental_acceleration,13,positive_4w,30,50000000,0.6,0.2,50,1.0188101441784645,2.893996100342898,-0.10532908126134133,0.36602885174231514,1.5477925673117987,-0.2293377130966805,0.8450156903126824,0.1881686829889846,False
quality_momentum__hold4__none__top20__floor100m__sector60__w0.10__50bps,quality_momentum__hold4__none__top20__floor100m__sector60,quality_momentum,4,none,20,100000000,0.6,0.1,50,1.0188058376413314,2.8046267658226687,-0.1082009253466506,0.377496097916018,1.5669005256708255,-0.224325865759064,0.6403555785823065,0.08916822752400999,False
balanced_filing_momentum__hold13__positive_8w__top30__floor250m__sector70__w0.20__50bps,balanced_filing_momentum__hold13__positive_8w__top30__floor250m__sector70,balanced_filing_momentum,13,positive_8w,30,250000000,0.7,0.2,50,1.018770805452934,2.9018548474260344,-0.10776973862939943,0.3730418649241942,1.5816336389754595,-0.22464740685434303,0.8489402217545345,0.22211189579306234,False
quality_momentum__hold13__positive_4w__top20__floor50m__sector70__w0.10__50bps,quality_momentum__hold13__positive_4w__top20__floor50m__sector70,quality_momentum,13,positive_4w,20,50000000,0.7,0.1,50,1.01876692552185,2.743804686865051,-0.10846574302268219,0.3779204690460105,1.553006179522752,-0.2211705874864317,0.6841852495881693,0.1022664959100692,False
balanced_filing_momentum__hold13__positive_4w__top20__floor50m__sector70__w0.10__50bps,balanced_filing_momentum__hold13__positive_4w__top20__floor50m__sector70,balanced_filing_momentum,13,positive_4w,20,50000000,0.7,0.1,50,1.0185028659138604,2.738938124852501,-0.11065286716130662,0.3844929563729864,1.576913301067619,-0.22055426556026847,0.6831562141950702,0.1571685959726985,False
quality_momentum__hold8__none__top30__floor50m__sector70__w0.10__50bps,quality_momentum__hold8__none__top30__floor50m__sector70,quality_momentum,8,none,30,50000000,0.7,0.1,50,1.0182465657619177,2.7681815742664226,-0.10325654737191392,0.38204749422023854,1.5740899628211014,-0.2194450710648157,0.6947979660541688,0.14054542976684425,False
fundamental_acceleration__hold13__positive_4w__top20__floor50m__sector70__w0.20__50bps,fundamental_acceleration__hold13__positive_4w__top20__floor50m__sector70,fundamental_acceleration,13,positive_4w,20,50000000,0.7,0.2,50,1.0181833308378399,2.8408838133694276,-0.10546744439717415,0.35250819742168327,1.4978333712044813,-0.22979605474341558,0.835660241532405,0.12851873634764055,False
quality_momentum__hold13__none__top30__floor100m__sector70__w0.10__50bps,quality_momentum__hold13__none__top30__floor100m__sector70,quality_momentum,13,none,30,100000000,0.7,0.1,50,1.018174406612221,2.761140309674163,-0.10110745684518041,0.38083126680015056,1.5634096314072043,-0.2218923647491048,0.7038085638069078,0.13318599968379674,False
fundamental_acceleration__hold4__positive_4w__top10__floor100m__sector70__w0.10__50bps,fundamental_acceleration__hold4__positive_4w__top10__floor100m__sector70,fundamental_acceleration,4,positive_4w,10,100000000,0.7,0.1,50,1.0180261173369063,2.7823600515041442,-0.1072021312152368,0.3897814934991297,1.5922868822030762,-0.2201120665996832,0.6767399869345547,0.191605449350577,False
fundamental_acceleration__hold4__positive_8w__top30__floor50m__sector70__w0.20__50bps,fundamental_acceleration__hold4__positive_8w__top30__floor50m__sector70,fundamental_acceleration,4,positive_8w,30,50000000,0.7,0.2,50,1.0178233575341111,2.926605169096092,-0.10335337422821855,0.38789977425281386,1.638694857217155,-0.2263847251768646,0.8237796747766231,0.28367928654807706,False
quality_momentum__hold13__positive_8w__top30__floor250m__sector70__w0.10__50bps,quality_momentum__hold13__positive_8w__top30__floor250m__sector70,quality_momentum,13,positive_8w,30,250000000,0.7,0.1,50,1.0177198516618584,2.751594540946974,-0.10548774914104897,0.3866589740409223,1.5886289431174876,-0.2236754750908132,0.6958207430618866,0.18125181612941454,False
quality_momentum__hold4__none__top20__floor50m__sector60__w0.10__50bps,quality_momentum__hold4__none__top20__floor50m__sector60,quality_momentum,4,none,20,50000000,0.6,0.1,50,1.0176515301271185,2.8055316264325807,-0.1082009253466506,0.37876031324383597,1.5718359466793843,-0.22432586575906366,0.6308178639029542,0.09821986824113571,False
quality_momentum__hold13__positive_8w__top30__floor100m__sector60__w0.10__50bps,quality_momentum__hold13__positive_8w__top30__floor100m__sector60,quality_momentum,13,positive_8w,30,100000000,0.6,0.1,50,1.0174090856573925,2.7680792011318567,-0.10567259182471744,0.3866586507766989,1.5941273678280439,-0.22169929505637698,0.6768146030651452,0.17745210401158062,False
balanced_filing_momentum__hold8__positive_8w__top10__floor50m__sector70__w0.10__50bps,balanced_filing_momentum__hold8__positive_8w__top10__floor50m__sector70,balanced_filing_momentum,8,positive_8w,10,50000000,0.7,0.1,50,1.017312117757546,2.7937371809288853,-0.09098297608072958,0.4083413049773079,1.6551394340053918,-0.21905596427528762,0.6853058377971517,0.3625590042317943,False
